[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,0,Embedder,10000,10,0.6,0,19.2056,30.0414,48717,9.7434
[CSV]compute5,0,Embedder,10000,10,0.6,0,19.2056,31.9635,49712,9.9424
[CSV]compute5,0,Embedder,21544,10,0.6,0,20.8558,42.3511,92893,8.62356
[CSV]compute5,0,Embedder,46415,10,0.6,0,22.4896,106.832,211877,9.12968
[CSV]compute5,0,Embedder,100000,10,0.6,0,24.112,278.145,538684,10.7737
[CSV]compute5,0,Embedder,215443,10,0.6,0,25.7171,692.118,1175951,10.9166
[CSV]compute5,0,Embedder,464158,10,0.6,0,27.3193,1544.03,2100495,9.05078
[CSV]compute5,0,Embedder,1000000,10,0.6,0,28.9054,3603.24,4558798,9.1176
[CSV]compute5,0,Embedder,2154434,10,0.6,0,30.488,10106.4,11164135,10.3639
[CSV]compute5,0,Embedder,4641588,10,0.6,0,32.0655,17329.5,24940868,10.7467
[CSV]compute5,0,Embedder,10000000,10,0.6,0,33.6363,37785.9,50742082,10.1484
[CSV]compute5,0,Embedder,21544346,10,0.6,0,35.2051,85016.1,108896522,10.1091
[CSV]compute5,0,Embedder,46415888,10,0.6,0,36.7676,190335,231607934,9.97968
[CSV]compute5,0,Embedder,10000,100,0.6,0,14.0942,172.398,500636,100.127
[CSV]compute5,0,Embedder,10000,100,0.6,0,14.0942,154.466,426619,85.3238
[CSV]compute5,0,Embedder,21544,100,0.6,0,15.8307,426.267,1047192,97.2143
[CSV]compute5,0,Embedder,46415,100,0.6,0,17.531,1110.85,2303800,99.2696
[CSV]compute5,0,Embedder,100000,100,0.6,0,19.2046,2601.2,4812307,96.2461
[CSV]compute5,0,Embedder,215443,100,0.6,0,20.8564,3585.95,11007325,102.183
[CSV]compute5,0,Embedder,464158,100,0.6,0,22.4907,8623.66,22928290,98.7952
[CSV]compute5,0,Embedder,1000000,100,0.6,0,24.1109,21706.2,51693723,103.387
[CSV]compute5,0,Embedder,2154434,100,0.6,0,25.7189,48572.5,100702021,93.4835
[CSV]compute5,0,Embedder,4641588,100,0.6,0,27.3174,116414,220541282,95.0284
[CSV]compute5,0,Embedder,21544,1000,0.6,0,10.4538,3987.16,9950047,923.695
[CSV]compute5,0,Embedder,46415,1000,0.6,0,12.309,11012.7,21779814,938.482
[CSV]compute5,0,Embedder,100000,1000,0.6,0,14.0941,16455.4,48166889,963.338
[CSV]compute5,0,Embedder,215443,1000,0.6,0,15.8305,43068.1,105725804,981.474
[CSV]compute5,0,Embedder,464158,1000,0.6,0,17.5312,107711,230423786,992.868
[CSV]compute5,0,Embedder,10000,10,1,0,15.683,27.1206,49613,9.9226
[CSV]compute5,0,Embedder,10000,10,1,0,15.683,27.2376,49995,9.999
[CSV]compute5,0,Embedder,21544,10,1,0,17.2179,64.5794,109326,10.1491
[CSV]compute5,0,Embedder,46415,10,1,0,18.7527,141.579,231870,9.99117
[CSV]compute5,0,Embedder,100000,10,1,0,20.2913,323.187,488524,9.77048
[CSV]compute5,0,Embedder,215443,10,1,0,21.8265,780.993,1064607,9.88296
[CSV]compute5,0,Embedder,464158,10,1,0,23.3616,1811.49,2326804,10.0259
[CSV]compute5,0,Embedder,1000000,10,1,0,24.8968,4079.79,5017465,10.0349
[CSV]compute5,0,Embedder,2154434,10,1,0,26.4319,5784.17,10746176,9.97587
[CSV]compute5,0,Embedder,4641588,10,1,0,27.9671,13206.9,23117386,9.96098
[CSV]compute5,0,Embedder,10000000,10,1,0,29.5022,30633.9,49917539,9.98351
[CSV]compute5,0,Embedder,21544346,10,1,0,31.0374,70128.7,107579062,9.98676
[CSV]compute5,0,Embedder,46415888,10,1,0,32.5725,156814,232021917,9.99752
[CSV]compute5,0,Embedder,10000,100,1,0,11.0622,361.871,488151,97.6302
[CSV]compute5,0,Embedder,10000,100,1,0,11.0622,372.181,532097,106.419
[CSV]compute5,0,Embedder,21544,100,1,0,12.6063,430.4,1042559,96.7842
[CSV]compute5,0,Embedder,46415,100,1,0,14.1455,1046.65,2366800,101.984
[CSV]compute5,0,Embedder,100000,100,1,0,15.683,2371.25,4979009,99.5802
[CSV]compute5,0,Embedder,215443,100,1,0,17.2191,5595.22,10759146,99.8793
[CSV]compute5,0,Embedder,464158,100,1,0,18.7545,12724.1,23336388,100.554
[CSV]compute5,0,Embedder,1000000,100,1,0,20.2899,28733.2,50098839,100.198
[CSV]compute5,0,Embedder,2154434,100,1,0,21.825,66392.6,107920965,100.185
[CSV]compute5,0,Embedder,4641588,100,1,0,23.36,147024,232389908,100.134
[CSV]compute5,0,Embedder,21544,1000,1,0,7.93843,6180.86,10725089,995.645
[CSV]compute5,0,Embedder,46415,1000,1,0,9.50959,15243.7,23086940,994.805
[CSV]compute5,0,Embedder,100000,1000,1,0,11.0624,36303.9,49794062,995.881
[CSV]compute5,0,Embedder,215443,1000,1,0,12.6062,43629.2,107951019,1002.13
[CSV]compute5,0,Embedder,464158,1000,1,0,14.1456,101696,231867514,999.089
[CSV]compute5,0,Embedder,10000,10,0.6,0.5,20.9825,118.834,25149,5.0298
[CSV]compute5,0,Embedder,10000,10,0.6,0.5,20.9825,118.366,23776,4.7552
[CSV]compute5,0,Embedder,21544,10,0.6,0.5,22.5176,243.43,63570,5.90141
[CSV]compute5,0,Embedder,46415,10,0.6,0.5,24.0526,475.229,122740,5.28881
[CSV]compute5,0,Embedder,100000,10,0.6,0.5,25.5877,965.727,268265,5.3653
[CSV]compute5,0,Embedder,215443,10,0.6,0.5,27.1228,2016.37,721297,6.69594
[CSV]compute5,0,Embedder,464158,10,0.6,0.5,28.6578,4149,1464917,6.31215
[CSV]compute5,0,Embedder,1000000,10,0.6,0.5,30.1929,9060.78,4141553,8.28311
[CSV]compute5,0,Embedder,2154434,10,0.6,0.5,31.7279,19476.7,7967911,7.39676
[CSV]compute5,0,Embedder,4641588,10,0.6,0.5,33.263,42714.5,17959813,7.73865
[CSV]compute5,0,Embedder,10000000,10,0.6,0.5,34.7981,129835,35176559,7.03531
[CSV]compute5,0,Embedder,10000,100,0.6,0.5,16.3774,122.845,230251,46.0502
[CSV]compute5,0,Embedder,10000,100,0.6,0.5,16.3774,127.151,225419,45.0838
[CSV]compute5,0,Embedder,21544,100,0.6,0.5,17.9124,291.213,516044,47.9061
[CSV]compute5,0,Embedder,46415,100,0.6,0.5,19.4475,470.847,1115566,48.0692
[CSV]compute5,0,Embedder,100000,100,0.6,0.5,20.9825,1152.39,2708930,54.1786
[CSV]compute5,0,Embedder,215443,100,0.6,0.5,22.5176,2646.99,5465834,50.7404
[CSV]compute5,0,Embedder,464158,100,0.6,0.5,24.0527,6619.69,13427951,57.8594
[CSV]compute5,0,Embedder,1000000,100,0.6,0.5,25.5877,15351.9,29920017,59.84
[CSV]compute5,0,Embedder,2154434,100,0.6,0.5,27.1228,36457.8,69409413,64.434
[CSV]compute5,0,Embedder,4641588,100,0.6,0.5,28.6578,82598.2,151282940,65.1859
[CSV]compute5,0,Embedder,21544,1000,0.6,0.5,13.3072,1584.99,3676741,341.324
[CSV]compute5,0,Embedder,46415,1000,0.6,0.5,14.8423,4122.95,9002131,387.897
[CSV]compute5,0,Embedder,100000,1000,0.6,0.5,16.3774,10630.7,21758340,435.167
[CSV]compute5,0,Embedder,215443,1000,0.6,0.5,17.9124,26898,52245295,485.003
[CSV]compute5,0,Embedder,464158,1000,0.6,0.5,19.4475,36625.3,106703892,459.774
[CSV]compute5,0,Embedder,1000000,1000,0.6,0.5,20.9825,86743.2,245954448,491.909
[CSV]compute5,0,Embedder,2154434,1000,0.6,0.5,22.5176,212477,580282654,538.687
[CSV]compute5,0,Embedder,10000,10,1,0.5,16.5881,42.4278,45419,9.0838
[CSV]compute5,0,Embedder,10000,10,1,0.5,16.5881,42.102,44899,8.9798
[CSV]compute5,0,Embedder,21544,10,1,0.5,18.1231,82.071,86720,8.0505
[CSV]compute5,0,Embedder,46415,10,1,0.5,19.6582,174.401,191473,8.25048
[CSV]compute5,0,Embedder,100000,10,1,0.5,21.1933,380.576,421427,8.42854
[CSV]compute5,0,Embedder,215443,10,1,0.5,22.7283,828.722,911414,8.46084
