[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,0,HyperGen,10000,10,0.6,0.0,7.7162,40635,8.127
[CSV]compute5,0,HyperGen,10000,10,0.6,0.0,7.95506,42731,8.5462
[CSV]compute5,0,HyperGen,21544,10,0.6,0.0,16.8605,101752,9.44597
[CSV]compute5,0,HyperGen,46415,10,0.6,0.0,36.6302,264740,11.4075
[CSV]compute5,0,HyperGen,100000,10,0.6,0.0,77.1593,562736,11.2547
[CSV]compute5,0,HyperGen,215443,10,0.6,0.0,175.011,1128213,10.4734
[CSV]compute5,0,HyperGen,464158,10,0.6,0.0,384.403,2409790,10.3835
[CSV]compute5,0,HyperGen,1000000,10,0.6,0.0,832.651,4986311,9.97262
[CSV]compute5,0,HyperGen,2154434,10,0.6,0.0,1604.36,10630521,9.8685
[CSV]compute5,0,HyperGen,4641588,10,0.6,0.0,3461.49,23647618,10.1895
[CSV]compute5,0,HyperGen,10000000,10,0.6,0.0,8237.59,50678655,10.1357
[CSV]compute5,0,HyperGen,21544346,10,0.6,0.0,17513.3,106396529,9.87698
[CSV]compute5,0,HyperGen,46415888,10,0.6,0.0,36434.9,231316435,9.96712
[CSV]compute5,0,HyperGen,100000000,10,0.6,0.0,69050.6,481079743,9.62159
[CSV]compute5,0,HyperGen,10000,100,0.6,0.0,13.2828,474592,94.9184
[CSV]compute5,0,HyperGen,10000,100,0.6,0.0,13.7257,511966,102.393
[CSV]compute5,0,HyperGen,21544,100,0.6,0.0,29.4591,1117651,103.755
[CSV]compute5,0,HyperGen,46415,100,0.6,0.0,64.355,2300874,99.1436
[CSV]compute5,0,HyperGen,100000,100,0.6,0.0,124.793,5180418,103.608
[CSV]compute5,0,HyperGen,215443,100,0.6,0.0,264.116,10840705,100.636
[CSV]compute5,0,HyperGen,464158,100,0.6,0.0,572.937,24151756,104.067
[CSV]compute5,0,HyperGen,1000000,100,0.6,0.0,1212.29,49797408,99.5948
[CSV]compute5,0,HyperGen,2154434,100,0.6,0.0,2863.96,114908186,106.671
[CSV]compute5,0,HyperGen,4641588,100,0.6,0.0,6187,237125845,102.174
[CSV]compute5,0,HyperGen,10000000,100,0.6,0.0,13449.2,527272682,105.455
[CSV]compute5,0,HyperGen,21544346,100,0.6,0.0,26050.2,1119484202,103.924
[CSV]compute5,0,HyperGen,46415888,100,0.6,0.0,56398.8,2406331553,103.686
[CSV]compute5,0,HyperGen,100000000,100,0.6,0.0,131262,4918755019,98.3751
[CSV]compute5,0,HyperGen,21544,1000,0.6,0.0,85.1908,10081224,935.873
