[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,compute5,0,0,10000,10,0.6,2.2,0,19.2056,6.55672,0.818145,2.08941,3.62885,57690,11.538
[CSV]hypergirgs,compute5,0,10,21544,10,0.6,2.2,0,20.8558,13.6043,1.5576,4.20193,7.79773,139811,12.9791
[CSV]hypergirgs,compute5,0,20,46415,10,0.6,2.2,0,22.4896,27.2802,3.21402,8.41767,15.547,225301,9.70811
[CSV]hypergirgs,compute5,0,30,100000,10,0.6,2.2,0,24.112,55.1852,7.04495,14.0202,34.0113,508603,10.1721
[CSV]hypergirgs,compute5,0,40,215443,10,0.6,2.2,0,25.7171,118.889,15.1421,28.9992,74.5596,1064415,9.88118
[CSV]hypergirgs,compute5,0,50,464158,10,0.6,2.2,0,27.3193,253.56,32.0981,61.8924,159.385,2355179,10.1482
[CSV]hypergirgs,compute5,0,60,1000000,10,0.6,2.2,0,28.9054,608.886,70.4514,142.705,394.546,4771143,9.54229
[CSV]hypergirgs,compute5,0,70,2154434,10,0.6,2.2,0,30.488,1307.61,153.357,311.815,841.415,10808979,10.0342
[CSV]hypergirgs,compute5,0,80,4641588,10,0.6,2.2,0,32.0655,2855.15,335.935,688.582,1829.57,23871265,10.2858
[CSV]hypergirgs,compute5,0,90,10000000,10,0.6,2.2,0,33.6363,6164.85,710.113,1512.93,3940.09,60000492,12.0001
[CSV]hypergirgs,compute5,0,100,21544346,10,0.6,2.2,0,35.2051,12707.8,1325.06,3269.37,8110.38,120179167,11.1564
[CSV]hypergirgs,compute5,0,110,46415888,10,0.6,2.2,0,36.7676,27570.1,2717.89,7354.02,17492.1,224098576,9.65611
[CSV]hypergirgs,compute5,0,120,100000000,10,0.6,2.2,0,38.3262,58752,5623.53,16396.1,36720.7,488982719,9.77965
[CSV]hypergirgs,compute5,0,130,10000,100,0.6,2.2,0,14.0942,9.43999,0.749539,1.8166,6.86981,475829,95.1658
[CSV]hypergirgs,compute5,0,140,21544,100,0.6,2.2,0,15.8307,19.529,1.38393,3.23231,14.9083,1021031,94.7856
