host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkbin,0,0.5,2.2,2154,10,0,7781,0,0,9
compute5,nkbin,0,0.5,2.2,4641,10,0,12782,0,0,20
compute5,nkbin,0,0.5,2.2,10000,10,0,54198,1,1,58
compute5,nkbin,0,0.5,2.2,21544,10,0,70047,3,2,98
compute5,nkbin,0,0.5,2.2,46415,10,0,164779,7,5,230
compute5,nkbin,0,0.5,2.2,100000,10,0,446267,17,11,565
compute5,nkbin,0,0.5,2.2,215443,10,0,875964,41,23,1311
compute5,nkbin,0,0.5,2.2,464158,10,0,1737602,94,51,3010
compute5,nkbin,0,0.5,2.2,1000000,10,0,3826541,214,115,5789
compute5,nkbin,0,0.5,2.2,2154434,10,0,9035294,482,261,13638
compute5,nkbin,0,0.5,2.2,4641588,10,0,23817337,1164,593,33103
compute5,nkbin,0,0.5,2.2,10000000,10,0,42898503,2742,1278,76376
compute5,nkbin,0,0.5,2.2,21544346,10,0,91496775,6427,2839,141309
compute5,nkbin,0,0.5,2.2,46415888,10,0,202546962,14836,6439,330607
compute5,nkbin,0,0.5,2.2,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,2.2,2154,100,0,39350,0,0,27
compute5,nkbin,0,0.5,2.2,4641,100,0,126995,0,0,80
compute5,nkbin,0,0.5,2.2,10000,100,0,235022,1,0,165
compute5,nkbin,0,0.5,2.2,21544,100,0,581522,3,2,378
compute5,nkbin,0,0.5,2.2,46415,100,0,1375129,7,4,863
compute5,nkbin,0,0.5,2.2,100000,100,0,3278846,17,10,2009
compute5,nkbin,0,0.5,2.2,215443,100,0,6945125,38,23,4448
compute5,nkbin,0,0.5,2.2,464158,100,0,16785410,89,56,10733
compute5,nkbin,0,0.5,2.2,1000000,100,0,36179308,208,117,22187
compute5,nkbin,0,0.5,2.2,2154434,100,0,82173055,491,264,50478
compute5,nkbin,0,0.5,2.2,4641588,100,0,178431349,1168,588,113535
compute5,nkbin,0,0.5,2.2,10000000,100,0,406995397,2817,1333,262745
compute5,nkbin,0,0.5,2.2,21544346,100,0,907966386,6559,2897,550814
compute5,nkbin,0,0.5,2.2,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,2.2,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,0,0.5,2.2,4641,1000,0,706845,0,0,313
compute5,nkbin,0,0.5,2.2,10000,1000,0,1705017,1,0,779
compute5,nkbin,0,0.5,2.2,21544,1000,0,4276619,3,2,1970
