host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkgen,0,0.0,2.2,2154,10,0,10278,0,0,3
compute5,nkgen,0,0.0,2.2,4641,10,0,20177,0,0,8
compute5,nkgen,0,0.0,2.2,10000,10,0,53564,1,0,19
compute5,nkgen,0,0.0,2.2,21544,10,0,97197,4,2,36
compute5,nkgen,0,0.0,2.2,46415,10,0,292340,9,4,87
compute5,nkgen,0,0.0,2.2,100000,10,0,449674,20,9,155
compute5,nkgen,0,0.0,2.2,215443,10,0,1075396,46,21,339
compute5,nkgen,0,0.0,2.2,464158,10,0,2324635,108,45,738
compute5,nkgen,0,0.0,2.2,1000000,10,0,4543396,240,103,1404
compute5,nkgen,0,0.0,2.2,2154434,10,0,10668770,551,234,3213
compute5,nkgen,0,0.0,2.2,4641588,10,0,22045632,1280,521,7162
compute5,nkgen,0,0.0,2.2,10000000,10,0,55916278,3020,1202,16820
compute5,nkgen,0,0.0,2.2,21544346,10,0,108016916,6851,2653,33189
compute5,nkgen,0,0.0,2.2,46415888,10,0,238325632,15719,6046,75463
compute5,nkgen,0,0.0,2.2,100000000,10,0,525731523,35632,13419,172062
compute5,nkgen,0,0.0,2.2,2154,100,0,99905,0,0,14
compute5,nkgen,0,0.0,2.2,4641,100,0,208504,0,0,31
compute5,nkgen,0,0.0,2.2,10000,100,0,444414,1,0,69
compute5,nkgen,0,0.0,2.2,21544,100,0,1092940,4,1,161
compute5,nkgen,0,0.0,2.2,46415,100,0,2280097,8,3,337
compute5,nkgen,0,0.0,2.2,100000,100,0,4770908,20,7,715
compute5,nkgen,0,0.0,2.2,215443,100,0,10851901,46,16,1625
compute5,nkgen,0,0.0,2.2,464158,100,0,24447968,103,43,3545
compute5,nkgen,0,0.0,2.2,1000000,100,0,49914999,244,107,6365
compute5,nkgen,0,0.0,2.2,2154434,100,0,106486362,559,238,12535
compute5,nkgen,0,0.0,2.2,4641588,100,0,226712993,1280,524,25121
compute5,nkgen,0,0.0,2.2,10000000,100,0,504182635,3017,1230,53365
compute5,nkgen,0,0.0,2.2,21544346,100,0,1038686210,7060,2702,105570
compute5,nkgen,0,0.0,2.2,46415888,100,0,2366005330,16368,6197,234770
compute5,nkgen,0,0.0,2.2,100000000,100,0,4946647228,36951,13975,499078
compute5,nkgen,0,0.0,2.2,4641,1000,0,2089672,0,0,244
compute5,nkgen,0,0.0,2.2,10000,1000,0,4575341,1,0,545
compute5,nkgen,0,0.0,2.2,21544,1000,0,10163460,4,1,1208
compute5,nkgen,0,0.0,2.2,46415,1000,0,22101847,8,3,2575
compute5,nkgen,0,0.0,2.2,100000,1000,0,48592497,19,7,5807
compute5,nkgen,0,0.0,2.2,215443,1000,0,102355043,44,17,12382
compute5,nkgen,0,0.0,2.2,464158,1000,0,228684584,100,43,27380
compute5,nkgen,0,0.0,2.2,1000000,1000,0,491677463,235,109,58268
compute5,nkgen,0,0.0,2.2,2154434,1000,0,1067204728,535,244,125202
compute5,nkgen,0,0.0,2.2,4641588,1000,0,2294567438,1271,536,251443
compute5,nkgen,0,0.0,2.2,10000000,1000,0,4928590943,2985,1267,471039
compute5,nkgen,0,0.0,2.2,21544346,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.0,2.2,46415888,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.0,2.2,100000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.0,3.0,2154,10,0,10530,0,0,3
compute5,nkgen,0,0.0,3.0,4641,10,0,24146,0,0,7
compute5,nkgen,0,0.0,3.0,10000,10,0,48902,1,0,17
compute5,nkgen,0,0.0,3.0,21544,10,0,105386,4,1,35
compute5,nkgen,0,0.0,3.0,46415,10,0,232157,8,4,77
compute5,nkgen,0,0.0,3.0,100000,10,0,499290,19,8,170
compute5,nkgen,0,0.0,3.0,215443,10,0,1068680,42,18,382
compute5,nkgen,0,0.0,3.0,464158,10,0,2318687,97,41,711
compute5,nkgen,0,0.0,3.0,1000000,10,0,4981131,225,93,1301
compute5,nkgen,0,0.0,3.0,2154434,10,0,10770206,530,220,2892
compute5,nkgen,0,0.0,3.0,4641588,10,0,23260027,1207,490,6560
compute5,nkgen,0,0.0,3.0,10000000,10,0,50015574,2854,1164,15007
compute5,nkgen,0,0.0,3.0,21544346,10,0,107548130,6735,2553,30322
compute5,nkgen,0,0.0,3.0,46415888,10,0,231808279,15394,5525,68434
compute5,nkgen,0,0.0,3.0,100000000,10,0,500062251,35335,13018,156192
compute5,nkgen,0,0.0,3.0,2154,100,0,104804,0,0,15
compute5,nkgen,0,0.0,3.0,4641,100,0,235188,0,0,35
compute5,nkgen,0,0.0,3.0,10000,100,0,495843,1,0,76
compute5,nkgen,0,0.0,3.0,21544,100,0,1065710,4,1,164
compute5,nkgen,0,0.0,3.0,46415,100,0,2307184,8,3,345
compute5,nkgen,0,0.0,3.0,100000,100,0,5006060,20,7,752
compute5,nkgen,0,0.0,3.0,215443,100,0,10672260,45,15,1633
