[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,Embedder,10000,10,0.6,0,19.2056,42.2871,48717,9.7434
[CSV]thomas-desktop,0,Embedder,10000,10,0.6,0,19.2056,36.5113,49712,9.9424
[CSV]thomas-desktop,0,Embedder,21544,10,0.6,0,20.8558,46.8977,92893,8.62356
[CSV]thomas-desktop,0,Embedder,46415,10,0.6,0,22.4896,115.878,211877,9.12968
[CSV]thomas-desktop,0,Embedder,100000,10,0.6,0,24.112,283.585,538684,10.7737
[CSV]thomas-desktop,0,Embedder,215443,10,0.6,0,25.7171,677.258,1175951,10.9166
[CSV]thomas-desktop,0,Embedder,464158,10,0.6,0,27.3193,1458.4,2100495,9.05078
[CSV]thomas-desktop,0,Embedder,1000000,10,0.6,0,28.9054,3627.21,4558798,9.1176
[CSV]thomas-desktop,0,Embedder,2154434,10,0.6,0,30.488,9802.07,11164135,10.3639
[CSV]thomas-desktop,0,Embedder,4641588,10,0.6,0,32.0655,15587.7,24940868,10.7467
[CSV]thomas-desktop,0,Embedder,10000000,10,0.6,0,33.6363,34751.6,50742082,10.1484
[CSV]thomas-desktop,0,Embedder,21544346,10,0.6,0,35.2051,80064.7,108896522,10.1091
[CSV]thomas-desktop,0,Embedder,46415888,10,0.6,0,36.7676,180430,231607934,9.97968
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0,14.0942,191.802,500636,100.127
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0,14.0942,173.015,426619,85.3238
[CSV]thomas-desktop,0,Embedder,21544,100,0.6,0,15.8307,471.448,1047192,97.2143
[CSV]thomas-desktop,0,Embedder,46415,100,0.6,0,17.531,1209.72,2303800,99.2696
[CSV]thomas-desktop,0,Embedder,100000,100,0.6,0,19.2046,2816.84,4812307,96.2461
[CSV]thomas-desktop,0,Embedder,215443,100,0.6,0,20.8564,3850.39,11007325,102.183
[CSV]thomas-desktop,0,Embedder,464158,100,0.6,0,22.4907,9061.76,22928290,98.7952
[CSV]thomas-desktop,0,Embedder,1000000,100,0.6,0,24.1109,22542.3,51693723,103.387
[CSV]thomas-desktop,0,Embedder,2154434,100,0.6,0,25.7189,51366.6,100702021,93.4835
[CSV]thomas-desktop,0,Embedder,4641588,100,0.6,0,27.3174,122458,220541282,95.0284
[CSV]thomas-desktop,0,Embedder,21544,1000,0.6,0,10.4538,4313.7,9950047,923.695
[CSV]thomas-desktop,0,Embedder,46415,1000,0.6,0,12.309,11870.2,21779814,938.482
[CSV]thomas-desktop,0,Embedder,100000,1000,0.6,0,14.0941,17803.2,48166889,963.338
[CSV]thomas-desktop,0,Embedder,215443,1000,0.6,0,15.8305,46477.5,105725804,981.474
[CSV]thomas-desktop,0,Embedder,464158,1000,0.6,0,17.5312,116714,230423786,992.868
[CSV]thomas-desktop,0,Embedder,10000,10,1,0,15.683,29.2091,49613,9.9226
[CSV]thomas-desktop,0,Embedder,10000,10,1,0,15.683,29.6537,49995,9.999
[CSV]thomas-desktop,0,Embedder,21544,10,1,0,17.2179,68.9032,109326,10.1491
[CSV]thomas-desktop,0,Embedder,46415,10,1,0,18.7527,147.834,231870,9.99117
[CSV]thomas-desktop,0,Embedder,100000,10,1,0,20.2913,325.629,488524,9.77048
[CSV]thomas-desktop,0,Embedder,215443,10,1,0,21.8265,752.258,1064607,9.88296
[CSV]thomas-desktop,0,Embedder,464158,10,1,0,23.3616,1711.71,2326804,10.0259
[CSV]thomas-desktop,0,Embedder,1000000,10,1,0,24.8968,3912.31,5017465,10.0349
[CSV]thomas-desktop,0,Embedder,2154434,10,1,0,26.4319,5366.95,10746176,9.97587
[CSV]thomas-desktop,0,Embedder,4641588,10,1,0,27.9671,12501.8,23117386,9.96098
[CSV]thomas-desktop,0,Embedder,10000000,10,1,0,29.5022,29367.8,49917539,9.98351
[CSV]thomas-desktop,0,Embedder,21544346,10,1,0,31.0374,68098.7,107579062,9.98676
[CSV]thomas-desktop,0,Embedder,46415888,10,1,0,32.5725,155241,232021917,9.99752
[CSV]thomas-desktop,0,Embedder,10000,100,1,0,11.0622,392.802,488151,97.6302
[CSV]thomas-desktop,0,Embedder,10000,100,1,0,11.0622,401.798,532097,106.419
[CSV]thomas-desktop,0,Embedder,21544,100,1,0,12.6063,462.609,1042559,96.7842
[CSV]thomas-desktop,0,Embedder,46415,100,1,0,14.1455,1125.49,2366800,101.984
[CSV]thomas-desktop,0,Embedder,100000,100,1,0,15.683,2537.96,4979009,99.5802
[CSV]thomas-desktop,0,Embedder,215443,100,1,0,17.2191,5909.12,10759146,99.8793
[CSV]thomas-desktop,0,Embedder,464158,100,1,0,18.7545,13444.1,23336388,100.554
[CSV]thomas-desktop,0,Embedder,1000000,100,1,0,20.2899,30319,50098839,100.198
[CSV]thomas-desktop,0,Embedder,2154434,100,1,0,21.825,70625,107920965,100.185
[CSV]thomas-desktop,0,Embedder,4641588,100,1,0,23.36,155439,232389908,100.134
[CSV]thomas-desktop,0,Embedder,21544,1000,1,0,7.93843,6594.66,10725089,995.645
[CSV]thomas-desktop,0,Embedder,46415,1000,1,0,9.50959,16232.7,23086940,994.805
[CSV]thomas-desktop,0,Embedder,100000,1000,1,0,11.0624,38662.1,49794062,995.881
[CSV]thomas-desktop,0,Embedder,215443,1000,1,0,12.6062,46516.4,107951019,1002.13
[CSV]thomas-desktop,0,Embedder,464158,1000,1,0,14.1456,108219,231867514,999.089
[CSV]thomas-desktop,0,Embedder,10000,10,0.6,0.5,20.9825,123.892,25149,5.0298
[CSV]thomas-desktop,0,Embedder,10000,10,0.6,0.5,20.9825,123.46,23776,4.7552
[CSV]thomas-desktop,0,Embedder,21544,10,0.6,0.5,22.5176,254.288,63570,5.90141
[CSV]thomas-desktop,0,Embedder,46415,10,0.6,0.5,24.0526,493.014,122740,5.28881
[CSV]thomas-desktop,0,Embedder,100000,10,0.6,0.5,25.5877,989.045,268265,5.3653
[CSV]thomas-desktop,0,Embedder,215443,10,0.6,0.5,27.1228,2029.2,721297,6.69594
[CSV]thomas-desktop,0,Embedder,464158,10,0.6,0.5,28.6578,4178.1,1464917,6.31215
[CSV]thomas-desktop,0,Embedder,1000000,10,0.6,0.5,30.1929,9208.61,4141553,8.28311
[CSV]thomas-desktop,0,Embedder,2154434,10,0.6,0.5,31.7279,19429.3,7967911,7.39676
[CSV]thomas-desktop,0,Embedder,4641588,10,0.6,0.5,33.263,42209.6,17959813,7.73865
[CSV]thomas-desktop,0,Embedder,10000000,10,0.6,0.5,34.7981,128232,35176559,7.03531
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0.5,16.3774,129.349,230251,46.0502
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0.5,16.3774,133.96,225419,45.0838
[CSV]thomas-desktop,0,Embedder,21544,100,0.6,0.5,17.9124,307.311,516044,47.9061
[CSV]thomas-desktop,0,Embedder,46415,100,0.6,0.5,19.4475,493.235,1115566,48.0692
[CSV]thomas-desktop,0,Embedder,100000,100,0.6,0.5,20.9825,1171.2,2708930,54.1786
[CSV]thomas-desktop,0,Embedder,215443,100,0.6,0.5,22.5176,2543.2,5465834,50.7404
[CSV]thomas-desktop,0,Embedder,464158,100,0.6,0.5,24.0527,6210.96,13427951,57.8594
