[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,HyperGen,10000,10,0.6,0.0,12.2001,40635,8.127
[CSV]thomas-desktop,0,HyperGen,10000,10,0.6,0.0,12.6353,42731,8.5462
[CSV]thomas-desktop,0,HyperGen,21544,10,0.6,0.0,20.551,101752,9.44597
[CSV]thomas-desktop,0,HyperGen,46415,10,0.6,0.0,36.8586,264740,11.4075
[CSV]thomas-desktop,0,HyperGen,100000,10,0.6,0.0,78.5156,562736,11.2547
[CSV]thomas-desktop,0,HyperGen,215443,10,0.6,0.0,175.505,1128213,10.4734
[CSV]thomas-desktop,0,HyperGen,464158,10,0.6,0.0,369.148,2409790,10.3835
[CSV]thomas-desktop,0,HyperGen,1000000,10,0.6,0.0,803.819,4986311,9.97262
[CSV]thomas-desktop,0,HyperGen,2154434,10,0.6,0.0,1534.48,10630521,9.8685
[CSV]thomas-desktop,0,HyperGen,4641588,10,0.6,0.0,3313.14,23647618,10.1895
[CSV]thomas-desktop,0,HyperGen,10000000,10,0.6,0.0,7871.51,50678655,10.1357
[CSV]thomas-desktop,0,HyperGen,21544346,10,0.6,0.0,16667.1,106396529,9.87698
[CSV]thomas-desktop,0,HyperGen,46415888,10,0.6,0.0,34765.8,231316435,9.96712
[CSV]thomas-desktop,0,HyperGen,100000000,10,0.6,0.0,65443,481079743,9.62159
[CSV]thomas-desktop,0,HyperGen,10000,100,0.6,0.0,12.9617,474592,94.9184
[CSV]thomas-desktop,0,HyperGen,10000,100,0.6,0.0,12.6261,511966,102.393
[CSV]thomas-desktop,0,HyperGen,21544,100,0.6,0.0,27.2603,1117651,103.755
[CSV]thomas-desktop,0,HyperGen,46415,100,0.6,0.0,56.8522,2300874,99.1436
[CSV]thomas-desktop,0,HyperGen,100000,100,0.6,0.0,112.804,5180418,103.608
[CSV]thomas-desktop,0,HyperGen,215443,100,0.6,0.0,236.596,10840705,100.636
[CSV]thomas-desktop,0,HyperGen,464158,100,0.6,0.0,500.406,24151756,104.067
[CSV]thomas-desktop,0,HyperGen,1000000,100,0.6,0.0,1073.31,49797408,99.5948
[CSV]thomas-desktop,0,HyperGen,2154434,100,0.6,0.0,2508.86,114908186,106.671
[CSV]thomas-desktop,0,HyperGen,4641588,100,0.6,0.0,5431.73,237125845,102.174
[CSV]thomas-desktop,0,HyperGen,10000000,100,0.6,0.0,11788,527272682,105.455
[CSV]thomas-desktop,0,HyperGen,21544346,100,0.6,0.0,22872.2,1119484202,103.924
