[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,thomas-desktop,0,0,10000,10,0.6,2.2,0,19.2056,9.71363,1.06608,2.88741,5.73063,57690,11.538
[CSV]hypergirgs,thomas-desktop,0,10,21544,10,0.6,2.2,0,20.8558,18.1529,2.12774,4.88436,11.0937,139811,12.9791
[CSV]hypergirgs,thomas-desktop,0,20,46415,10,0.6,2.2,0,22.4896,26.1669,3.70903,6.7667,15.6158,225301,9.70811
[CSV]hypergirgs,thomas-desktop,0,30,100000,10,0.6,2.2,0,24.112,53.3899,6.50726,12.6937,34.0046,508603,10.1721
[CSV]hypergirgs,thomas-desktop,0,40,215443,10,0.6,2.2,0,25.7171,113.034,13.4465,26.4288,72.7186,1064415,9.88118
[CSV]hypergirgs,thomas-desktop,0,50,464158,10,0.6,2.2,0,27.3193,235.932,29.7178,54.4862,150.953,2355179,10.1482
[CSV]hypergirgs,thomas-desktop,0,60,1000000,10,0.6,2.2,0,28.9054,579.067,60.4621,121.738,393.968,4771143,9.54229
[CSV]hypergirgs,thomas-desktop,0,70,2154434,10,0.6,2.2,0,30.488,1225.25,138.065,260.052,821.531,10808979,10.0342
[CSV]hypergirgs,thomas-desktop,0,80,4641588,10,0.6,2.2,0,32.0655,2565.61,292.523,566.412,1698.68,23871265,10.2858
[CSV]hypergirgs,thomas-desktop,0,90,10000000,10,0.6,2.2,0,33.6363,5521.28,617.227,1201.28,3685.69,60000492,12.0001
[CSV]hypergirgs,thomas-desktop,0,100,21544346,10,0.6,2.2,0,35.2051,11439.9,1220.73,2590.73,7593.88,120179167,11.1564
[CSV]hypergirgs,thomas-desktop,0,110,46415888,10,0.6,2.2,0,36.7676,24337.4,2554.62,5646.73,16062.9,224098576,9.65611
[CSV]hypergirgs,thomas-desktop,0,120,100000000,10,0.6,2.2,0,38.3262,51148.8,5383.31,12170.4,33443.7,488982719,9.77965
[CSV]hypergirgs,thomas-desktop,0,130,10000,100,0.6,2.2,0,14.0942,8.0485,0.686275,1.76623,5.59261,475829,95.1658
[CSV]hypergirgs,thomas-desktop,0,140,21544,100,0.6,2.2,0,15.8307,16.7008,1.30404,3.12811,12.2504,1021031,94.7856
[CSV]hypergirgs,thomas-desktop,0,150,46415,100,0.6,2.2,0,17.531,36.2771,2.7626,6.09717,27.4121,2246081,96.7825
[CSV]hypergirgs,thomas-desktop,0,160,100000,100,0.6,2.2,0,19.2046,80.1982,5.88056,11.7797,62.5332,5326578,106.532
[CSV]hypergirgs,thomas-desktop,0,170,215443,100,0.6,2.2,0,20.8564,170.998,12.725,26.7137,131.554,10893415,101.126
[CSV]hypergirgs,thomas-desktop,0,180,464158,100,0.6,2.2,0,22.4907,349.713,27.1182,55.3241,265.935,22113215,95.2831
[CSV]hypergirgs,thomas-desktop,0,190,1000000,100,0.6,2.2,0,24.1109,771.558,61.0764,118.254,590.833,51061045,102.122
[CSV]hypergirgs,thomas-desktop,0,200,2154434,100,0.6,2.2,0,25.7189,1593.9,128.78,232.288,1228.04,104542089,97.0483
[CSV]hypergirgs,thomas-desktop,0,210,4641588,100,0.6,2.2,0,27.3174,3416.5,291.767,491.279,2626.01,225811736,97.2993
[CSV]hypergirgs,thomas-desktop,0,220,10000000,100,0.6,2.2,0,28.9074,7710.77,625.83,1057.73,6011.12,515022096,103.004
[CSV]hypergirgs,thomas-desktop,0,230,21544346,100,0.6,2.2,0,30.4901,16279.7,1342.29,2276.45,12621,1059680138,98.372
[CSV]hypergirgs,thomas-desktop,0,240,46415888,100,0.6,2.2,0,37.3588,29876.2,2523.67,5808.21,21464.9,168260538,7.25013
[CSV]hypergirgs,thomas-desktop,0,250,100000000,100,0.6,2.2,0,37.6282,50825.5,5394.9,11961.4,33322.8,705417095,14.1083
[CSV]hypergirgs,thomas-desktop,0,260,21544,1000,0.6,2.2,0,10.4538,91.4093,1.37478,2.51396,87.516,9950005,923.692
[CSV]hypergirgs,thomas-desktop,0,270,46415,1000,0.6,2.2,0,12.309,206.028,2.68764,4.77012,198.565,22552571,971.779
[CSV]hypergirgs,thomas-desktop,0,280,100000,1000,0.6,2.2,0,14.0941,431.156,5.77371,11.2187,414.159,47905137,958.103
[CSV]hypergirgs,thomas-desktop,0,290,215443,1000,0.6,2.2,0,15.8305,951.891,13.1576,23.9133,914.815,105529515,979.651
[CSV]hypergirgs,thomas-desktop,0,300,464158,1000,0.6,2.2,0,17.5312,2063.72,27.1548,53.5191,1981.7,224345891,966.679
[CSV]hypergirgs,thomas-desktop,0,310,1000000,1000,0.6,2.2,0,19.2046,4486.14,60.9474,118.827,4305.07,496291053,992.582
[CSV]hypergirgs,thomas-desktop,0,320,2154434,1000,0.6,2.2,0,20.8563,9708.25,129.77,259.533,9314.13,1051931847,976.527
[CSV]hypergirgs,thomas-desktop,0,330,4641588,1000,0.6,2.2,0,27.9233,2907.07,296.221,497.194,2106.28,162590229,70.058
[CSV]hypergirgs,thomas-desktop,0,340,10000000,1000,0.6,2.2,0,28.1963,9330.03,626.362,1043.08,7643.7,700221136,140.044
[CSV]hypergirgs,thomas-desktop,0,350,21544346,1000,0.6,2.2,0,37.5084,21984.4,1166.4,2979.78,17785.1,33216102,3.08351
[CSV]hypergirgs,thomas-desktop,0,360,46415888,1000,0.6,2.2,0,32.665,30124.9,2894.33,5134.95,22037.5,1767679289,76.167
[CSV]hypergirgs,thomas-desktop,0,370,100000000,1000,0.6,2.2,0,37.9302,50598.5,5398.31,12036,33014.7,586858007,11.7372
