host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
thomas-desktop,nkgen,0,0.0,2.2,2154,10,0,9046,0,0,2
thomas-desktop,nkgen,0,0.0,2.2,4641,10,0,19949,0,0,5
thomas-desktop,nkgen,0,0.0,2.2,10000,10,0,46086,1,0,12
thomas-desktop,nkgen,0,0.0,2.2,21544,10,0,94615,3,1,24
thomas-desktop,nkgen,0,0.0,2.2,46415,10,0,210252,7,3,55
thomas-desktop,nkgen,0,0.0,2.2,100000,10,0,431671,16,7,112
thomas-desktop,nkgen,0,0.0,2.2,215443,10,0,1138436,38,15,255
thomas-desktop,nkgen,0,0.0,2.2,464158,10,0,2295646,82,36,547
thomas-desktop,nkgen,0,0.0,2.2,1000000,10,0,4982388,186,89,1090
thomas-desktop,nkgen,0,0.0,2.2,2154434,10,0,11498041,461,189,2530
thomas-desktop,nkgen,0,0.0,2.2,4641588,10,0,22875342,1132,425,5697
thomas-desktop,nkgen,0,0.0,2.2,10000000,10,0,55452239,2770,998,13476
thomas-desktop,nkgen,0,0.0,2.2,21544346,10,0,124012022,6335,2210,27659
thomas-desktop,nkgen,0,0.0,2.2,46415888,10,0,230820080,14584,5073,60376
thomas-desktop,nkgen,0,0.0,2.2,100000000,10,0,486104862,33593,11233,136165
thomas-desktop,nkgen,0,0.0,2.2,2154,100,0,94741,0,0,9
thomas-desktop,nkgen,0,0.0,2.2,4641,100,0,222794,0,0,23
thomas-desktop,nkgen,0,0.0,2.2,10000,100,0,464590,1,0,45
thomas-desktop,nkgen,0,0.0,2.2,21544,100,0,1024325,3,1,101
thomas-desktop,nkgen,0,0.0,2.2,46415,100,0,2372007,6,2,226
thomas-desktop,nkgen,0,0.0,2.2,100000,100,0,4897715,16,5,470
thomas-desktop,nkgen,0,0.0,2.2,215443,100,0,11176616,36,14,1068
thomas-desktop,nkgen,0,0.0,2.2,464158,100,0,23072649,79,34,2198
thomas-desktop,nkgen,0,0.0,2.2,1000000,100,0,48953581,191,83,4273
thomas-desktop,nkgen,0,0.0,2.2,2154434,100,0,107435605,457,190,8959
thomas-desktop,nkgen,0,0.0,2.2,4641588,100,0,222934724,1141,420,18498
thomas-desktop,nkgen,0,0.0,2.2,10000000,100,0,515840147,2709,1017,41755
thomas-desktop,nkgen,0,0.0,2.2,21544346,100,0,1067145939,6405,2245,84669
thomas-desktop,nkgen,0,0.0,2.2,46415888,100,0,2403412923,14859,5188,190019
thomas-desktop,nkgen,0,0.0,2.2,100000000,100,0,4981838883,34222,11425,401710
thomas-desktop,nkgen,0,0.0,2.2,4641,1000,0,1995144,0,0,145
thomas-desktop,nkgen,0,0.0,2.2,10000,1000,0,4355592,1,0,313
thomas-desktop,nkgen,0,0.0,2.2,21544,1000,0,9981534,3,1,712
thomas-desktop,nkgen,0,0.0,2.2,46415,1000,0,22069987,7,2,1576
thomas-desktop,nkgen,0,0.0,2.2,100000,1000,0,48978172,16,6,3526
thomas-desktop,nkgen,0,0.0,2.2,215443,1000,0,103858697,36,13,7593
thomas-desktop,nkgen,0,0.0,2.2,464158,1000,0,228502042,79,35,17030
thomas-desktop,nkgen,0,0.0,2.2,1000000,1000,0,488813782,188,87,36378
thomas-desktop,nkgen,0,0.0,2.2,2154434,1000,0,1069951639,457,196,80057
thomas-desktop,nkgen,0,0.0,2.2,4641588,1000,0,2285239668,1127,436,167965
thomas-desktop,nkgen,0,0.0,2.2,10000000,1000,0,4980070805,2725,1050,341005
thomas-desktop,nkgen,0,0.0,2.2,21544346,1000,0,-1,-1,-1,-1
thomas-desktop,nkgen,0,0.0,2.2,46415888,1000,0,-1,-1,-1,-1
thomas-desktop,nkgen,0,0.0,2.2,100000000,1000,0,-1,-1,-1,-1
thomas-desktop,nkgen,0,0.0,3.0,2154,10,0,11380,0,0,2
thomas-desktop,nkgen,0,0.0,3.0,4641,10,0,25388,0,0,5
thomas-desktop,nkgen,0,0.0,3.0,10000,10,0,50304,1,0,12
thomas-desktop,nkgen,0,0.0,3.0,21544,10,0,108449,3,1,24
