[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,NkOpt,10000,10,0.6,2.2,19.2056,0.0,8.53275,57852,11.5704
[CSV]thomas-desktop,0,NkOpt,10000,10,0.6,2.2,19.2056,0.0,8.55389,69257,13.8514
[CSV]thomas-desktop,0,NkOpt,21544,10,0.6,2.2,20.8558,0.0,15.5566,114900,10.6665
[CSV]thomas-desktop,0,NkOpt,46415,10,0.6,2.2,22.4896,0.0,24.3313,217004,9.3506
[CSV]thomas-desktop,0,NkOpt,100000,10,0.6,2.2,24.112,0.0,52.7071,470334,9.40668
[CSV]thomas-desktop,0,NkOpt,215443,10,0.6,2.2,25.7171,0.0,121.58,1090223,10.1208
[CSV]thomas-desktop,0,NkOpt,464158,10,0.6,2.2,27.3193,0.0,271.662,2334041,10.0571
[CSV]thomas-desktop,0,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,552.386,4823332,9.64666
[CSV]thomas-desktop,0,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1296.21,10308348,9.56943
[CSV]thomas-desktop,0,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3064.41,24756315,10.6672
[CSV]thomas-desktop,0,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,7017.19,50081229,10.0162
[CSV]thomas-desktop,0,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,14885.6,105094868,9.75614
[CSV]thomas-desktop,0,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,34425.9,224097733,9.65608
[CSV]thomas-desktop,0,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,80027.2,505639924,10.1128
[CSV]thomas-desktop,0,NkOpt,10000,100,0.6,2.2,14.0942,0.0,15.5004,445713,89.1426
[CSV]thomas-desktop,0,NkOpt,10000,100,0.6,2.2,14.0942,0.0,16.3672,459935,91.987
[CSV]thomas-desktop,0,NkOpt,21544,100,0.6,2.2,15.8307,0.0,35.5322,985242,91.4632
[CSV]thomas-desktop,0,NkOpt,46415,100,0.6,2.2,17.531,0.0,73.9037,2325423,100.201
