[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]gluten,0,Embedder,10000,10,0.6,0,19.2056,63.0276,48717,9.7434
[CSV]gluten,0,Embedder,10000,10,0.6,0,19.2056,57.9173,49712,9.9424
[CSV]gluten,0,Embedder,21544,10,0.6,0,20.8558,77.1737,92893,8.62356
[CSV]gluten,0,Embedder,46415,10,0.6,0,22.4896,190.717,211877,9.12968
[CSV]gluten,0,Embedder,100000,10,0.6,0,24.112,453.909,538684,10.7737
[CSV]gluten,0,Embedder,215443,10,0.6,0,25.7171,1034.18,1175951,10.9166
[CSV]gluten,0,Embedder,464158,10,0.6,0,27.3193,2238.35,2100495,9.05078
[CSV]gluten,0,Embedder,1000000,10,0.6,0,28.9054,5369.65,4558798,9.1176
[CSV]gluten,0,Embedder,2154434,10,0.6,0,30.488,14375.2,11164135,10.3639
[CSV]gluten,0,Embedder,4641588,10,0.6,0,32.0655,23295.9,24940868,10.7467
[CSV]gluten,0,Embedder,10000000,10,0.6,0,33.6363,52156.7,50742082,10.1484
[CSV]gluten,0,Embedder,21544346,10,0.6,0,35.2051,119363,108896522,10.1091
[CSV]gluten,0,Embedder,10000,100,0.6,0,14.0942,290.326,500636,100.127
[CSV]gluten,0,Embedder,10000,100,0.6,0,14.0942,261.306,426619,85.3238
[CSV]gluten,0,Embedder,21544,100,0.6,0,15.8307,726.945,1047192,97.2143
[CSV]gluten,0,Embedder,46415,100,0.6,0,17.531,1890.68,2303800,99.2696
[CSV]gluten,0,Embedder,100000,100,0.6,0,19.2046,4343.75,4812307,96.2461
[CSV]gluten,0,Embedder,215443,100,0.6,0,20.8564,5958.68,11007325,102.183
[CSV]gluten,0,Embedder,464158,100,0.6,0,22.4907,13991.1,22928290,98.7952
[CSV]gluten,0,Embedder,1000000,100,0.6,0,24.1109,34237.9,51693723,103.387
[CSV]gluten,0,Embedder,2154434,100,0.6,0,25.7189,77270,100702021,93.4835
[CSV]gluten,0,Embedder,4641588,100,0.6,0,27.3174,186075,220541282,95.0284
[CSV]gluten,0,Embedder,21544,1000,0.6,0,10.4538,6787.54,9950047,923.695
[CSV]gluten,0,Embedder,46415,1000,0.6,0,12.309,18629.1,21779814,938.482
[CSV]gluten,0,Embedder,100000,1000,0.6,0,14.0941,27858.9,48166889,963.338
[CSV]gluten,0,Embedder,215443,1000,0.6,0,15.8305,72426.9,105725804,981.474
[CSV]gluten,0,Embedder,464158,1000,0.6,0,17.5312,181382,230423786,992.868
[CSV]gluten,0,Embedder,10000,10,1,0,15.683,45.4298,49613,9.9226
[CSV]gluten,0,Embedder,10000,10,1,0,15.683,46.2788,49995,9.999
[CSV]gluten,0,Embedder,21544,10,1,0,17.2179,110.07,109326,10.1491
[CSV]gluten,0,Embedder,46415,10,1,0,18.7527,236.464,231870,9.99117
[CSV]gluten,0,Embedder,100000,10,1,0,20.2913,516.702,488524,9.77048
[CSV]gluten,0,Embedder,215443,10,1,0,21.8265,1191.32,1064607,9.88296
[CSV]gluten,0,Embedder,464158,10,1,0,23.3616,2659.37,2326804,10.0259
[CSV]gluten,0,Embedder,1000000,10,1,0,24.8968,5958.82,5017465,10.0349
[CSV]gluten,0,Embedder,2154434,10,1,0,26.4319,8081.2,10746176,9.97587
[CSV]gluten,0,Embedder,4641588,10,1,0,27.9671,18856.7,23117386,9.96098
[CSV]gluten,0,Embedder,10000000,10,1,0,29.5022,44178.6,49917539,9.98351
[CSV]gluten,0,Embedder,21544346,10,1,0,31.0374,103134,107579062,9.98676
[CSV]gluten,0,Embedder,10000,100,1,0,11.0622,622.432,488151,97.6302
