[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]gluten,0,HyperGen,10000,10,0.6,0.0,33.5386,47573,9.5146
[CSV]gluten,0,HyperGen,10000,10,0.6,0.0,26.1245,55932,11.1864
[CSV]gluten,0,HyperGen,21544,10,0.6,0.0,27.7144,115879,10.7574
[CSV]gluten,0,HyperGen,46415,10,0.6,0.0,29.103,254205,10.9536
[CSV]gluten,0,HyperGen,100000,10,0.6,0.0,39.8934,582699,11.654
[CSV]gluten,0,HyperGen,215443,10,0.6,0.0,37.4494,1215353,11.2824
[CSV]gluten,0,HyperGen,464158,10,0.6,0.0,77.9059,2377784,10.2456
[CSV]gluten,0,HyperGen,1000000,10,0.6,0.0,187.519,5584915,11.1698
[CSV]gluten,0,HyperGen,2154434,10,0.6,0.0,397.672,10979923,10.1929
[CSV]gluten,0,HyperGen,4641588,10,0.6,0.0,784.475,24773026,10.6744
[CSV]gluten,0,HyperGen,10000000,10,0.6,0.0,1436.26,53240096,10.648
[CSV]gluten,0,HyperGen,21544346,10,0.6,0.0,3056.73,105423380,9.78664
[CSV]gluten,0,HyperGen,46415888,10,0.6,0.0,6423.1,225945388,9.73569
[CSV]gluten,0,HyperGen,100000000,10,0.6,0.0,14048.3,477750624,9.55501
[CSV]gluten,0,HyperGen,10000,100,0.6,0.0,14.3044,509945,101.989
[CSV]gluten,0,HyperGen,10000,100,0.6,0.0,8.2195,524818,104.964
[CSV]gluten,0,HyperGen,21544,100,0.6,0.0,13.1876,1083351,100.571
[CSV]gluten,0,HyperGen,46415,100,0.6,0.0,22.8373,2332662,100.513
[CSV]gluten,0,HyperGen,100000,100,0.6,0.0,39.0224,5229731,104.595
[CSV]gluten,0,HyperGen,215443,100,0.6,0.0,63.1099,11421805,106.031
[CSV]gluten,0,HyperGen,464158,100,0.6,0.0,123.02,24293455,104.678
[CSV]gluten,0,HyperGen,1000000,100,0.6,0.0,263.211,51178184,102.356
[CSV]gluten,0,HyperGen,2154434,100,0.6,0.0,511.573,110188649,102.29
[CSV]gluten,0,HyperGen,4641588,100,0.6,0.0,1047.82,242330382,104.417
[CSV]gluten,0,HyperGen,10000000,100,0.6,0.0,2241,517998045,103.6
[CSV]gluten,0,HyperGen,21544346,100,0.6,0.0,4825.04,1099802403,102.097
[CSV]gluten,0,HyperGen,46415888,100,0.6,0.0,10470,2363644393,101.846
