algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,123,10000,10,0.6,2.2,0,19.2056,49.6425,1.35108,41.7719,6.46936,47441,9.4882
hypergirgs,gluten,0,123,21544,10,0.6,2.2,0,20.8558,23.9968,2.75547,15.5152,5.6486,111005,10.305
hypergirgs,gluten,0,123,46415,10,0.6,2.2,0,22.4896,26.2212,4.30387,16.7747,5.0011,202245,8.71464
hypergirgs,gluten,0,123,100000,10,0.6,2.2,0,24.112,42.1349,10.087,21.1245,10.6452,536858,10.7372
hypergirgs,gluten,0,123,215443,10,0.6,2.2,0,25.7171,73.5237,20.6835,35.3094,16.7582,975147,9.05248
hypergirgs,gluten,0,123,464158,10,0.6,2.2,0,27.3193,149.005,52.1692,61.6954,33.6309,2546141,10.971
hypergirgs,gluten,0,123,1000000,10,0.6,2.2,0,28.9054,274.921,93.392,96.5019,79.9326,4683185,9.36637
hypergirgs,gluten,0,123,2154434,10,0.6,2.2,0,30.488,438.898,196.559,112.491,119.724,9920260,9.20916
hypergirgs,gluten,0,123,4641588,10,0.6,2.2,0,32.0655,990.005,428.594,262.401,274.351,22732795,9.79527
hypergirgs,gluten,0,123,10000000,10,0.6,2.2,0,33.6363,2048.19,935.696,524.692,557.975,49185966,9.83719
hypergirgs,gluten,0,123,21544346,10,0.6,2.2,0,35.2051,3877.61,1721.06,983.518,1086.33,102879530,9.55049
hypergirgs,gluten,0,123,46415888,10,0.6,2.2,0,36.7676,8220.84,3545.52,2191.18,2356.45,239735449,10.3299
hypergirgs,gluten,0,123,10000,100,0.6,2.2,0,14.0942,26.5867,0.810948,22.2648,3.28804,510227,102.045
hypergirgs,gluten,0,123,21544,100,0.6,2.2,0,15.8307,33.2912,1.78274,23.208,8.2851,1006061,93.3959
hypergirgs,gluten,0,123,46415,100,0.6,2.2,0,17.531,31.8585,4.32975,16.1963,11.321,2267320,97.6977
hypergirgs,gluten,0,123,100000,100,0.6,2.2,0,19.2046,46.2696,8.63689,21.9893,15.3765,4999075,99.9815
hypergirgs,gluten,0,123,215443,100,0.6,2.2,0,20.8564,77.0436,17.9517,29.8233,29.2593,10244774,95.1043
hypergirgs,gluten,0,123,464158,100,0.6,2.2,0,22.4907,150.518,37.1703,51.0986,59.4785,22234267,95.8047
hypergirgs,gluten,0,123,1000000,100,0.6,2.2,0,24.1109,280.789,88.7629,61.8936,127.424,49790041,99.5801
hypergirgs,gluten,0,123,2154434,100,0.6,2.2,0,25.7189,567.645,187.076,131.816,240.155,108955431,101.145
hypergirgs,gluten,0,123,4641588,100,0.6,2.2,0,27.3174,1131.99,427.804,193.848,496.557,229455842,98.8695
hypergirgs,gluten,0,123,10000000,100,0.6,2.2,0,28.9074,2378.32,920.087,361.923,1052.42,484735327,96.9471
hypergirgs,gluten,0,123,21544346,100,0.6,2.2,0,30.4901,5102.95,1993.5,773.473,2263.04,1080953411,100.347
hypergirgs,gluten,0,123,46415888,100,0.6,2.2,0,32.0667,10909.4,4277.6,1668.27,4818.79,2371825693,102.199
hypergirgs,gluten,0,123,21544,1000,0.6,2.2,0,10.4538,56.3871,1.87405,25.2559,29.2489,10141724,941.489
hypergirgs,gluten,0,123,46415,1000,0.6,2.2,0,12.309,71.6001,4.03697,21.9883,45.5663,22331637,962.259
hypergirgs,gluten,0,123,100000,1000,0.6,2.2,0,14.0941,101.725,8.43004,17.5986,75.6873,47830808,956.616
hypergirgs,gluten,0,123,215443,1000,0.6,2.2,0,15.8305,188.88,17.4928,9.08889,162.28,104814637,973.015
hypergirgs,gluten,0,123,464158,1000,0.6,2.2,0,17.5312,471.171,37.2398,42.134,389.456,229675631,989.644
hypergirgs,gluten,0,123,1000000,1000,0.6,2.2,0,19.2046,960.646,85.9567,74.6632,797.731,496081207,992.162
hypergirgs,gluten,0,123,2154434,1000,0.6,2.2,0,20.8563,1991.56,186.856,114.631,1681.56,1062885590,986.696
hypergirgs,gluten,0,123,4641588,1000,0.6,2.2,0,22.4907,4334.24,425.627,194.195,3700.62,2313869658,997.016
