host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
gluten,nkgen,0,0.0,2.2,2154,10,0,10711,40,27,72
gluten,nkgen,0,0.0,2.2,4641,10,0,21817,23,19,44
gluten,nkgen,0,0.0,2.2,10000,10,0,49214,2,0,6
gluten,nkgen,0,0.0,2.2,21544,10,0,94225,4,1,11
gluten,nkgen,0,0.0,2.2,46415,10,0,220610,9,2,22
gluten,nkgen,0,0.0,2.2,100000,10,0,462003,19,5,43
gluten,nkgen,0,0.0,2.2,215443,10,0,944831,41,19,123
gluten,nkgen,0,0.0,2.2,464158,10,0,2617155,97,36,251
gluten,nkgen,0,0.0,2.2,1000000,10,0,5344749,207,82,492
gluten,nkgen,0,0.0,2.2,2154434,10,0,10590397,457,121,1005
gluten,nkgen,0,0.0,2.2,4641588,10,0,23533599,987,289,2189
gluten,nkgen,0,0.0,2.2,10000000,10,0,51742733,2027,600,4606
gluten,nkgen,0,0.0,2.2,21544346,10,0,107288046,4220,1323,9283
gluten,nkgen,0,0.0,2.2,46415888,10,0,227730485,9046,2561,19875
gluten,nkgen,0,0.0,2.2,100000000,10,0,543048531,19827,5680,49548
gluten,nkgen,0,0.0,2.2,2154,100,0,97957,0,0,4
gluten,nkgen,0,0.0,2.2,4641,100,0,239877,1,0,10
gluten,nkgen,0,0.0,2.2,10000,100,0,523114,2,0,18
gluten,nkgen,0,0.0,2.2,21544,100,0,1045153,4,1,31
gluten,nkgen,0,0.0,2.2,46415,100,0,2251079,8,2,57
gluten,nkgen,0,0.0,2.2,100000,100,0,5031972,16,3,109
gluten,nkgen,0,0.0,2.2,215443,100,0,9990936,38,13,252
gluten,nkgen,0,0.0,2.2,464158,100,0,22127128,81,25,512
gluten,nkgen,0,0.0,2.2,1000000,100,0,52651092,182,69,1110
gluten,nkgen,0,0.0,2.2,2154434,100,0,104324102,421,119,2185
gluten,nkgen,0,0.0,2.2,4641588,100,0,232128013,988,257,4856
gluten,nkgen,0,0.0,2.2,10000000,100,0,507145879,2087,551,10145
gluten,nkgen,0,0.0,2.2,21544346,100,0,1043560143,4475,1229,20488
gluten,nkgen,0,0.0,2.2,46415888,100,0,2294920240,9940,2494,47588
gluten,nkgen,0,0.0,2.2,100000000,100,0,4837806662,21430,5597,98172
gluten,nkgen,0,0.0,2.2,4641,1000,0,2040976,0,0,45
gluten,nkgen,0,0.0,2.2,10000,1000,0,4588354,2,0,78
gluten,nkgen,0,0.0,2.2,21544,1000,0,10297784,4,0,147
gluten,nkgen,0,0.0,2.2,46415,1000,0,22069198,8,1,304
gluten,nkgen,0,0.0,2.2,100000,1000,0,47950515,16,3,637
gluten,nkgen,0,0.0,2.2,215443,1000,0,104859850,35,10,1415
gluten,nkgen,0,0.0,2.2,464158,1000,0,225454596,121,24,3090
gluten,nkgen,0,0.0,2.2,1000000,1000,0,490513865,181,55,6969
gluten,nkgen,0,0.0,2.2,2154434,1000,0,1079335263,480,146,14704
