host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
gluten,0,NkOpt,10000,10,0.6,2.2,19.2056,0.0,55.155,57852,11.5704
gluten,0,NkOpt,10000,10,0.6,2.2,19.2056,0.0,33.5566,69257,13.8514
gluten,0,NkOpt,21544,10,0.6,2.2,20.8558,0.0,7.8547,114900,10.6665
gluten,0,NkOpt,46415,10,0.6,2.2,22.4896,0.0,12.7233,217004,9.3506
gluten,0,NkOpt,100000,10,0.6,2.2,24.112,0.0,25.2615,470334,9.40668
gluten,0,NkOpt,215443,10,0.6,2.2,25.7171,0.0,51.0798,1090223,10.1208
gluten,0,NkOpt,464158,10,0.6,2.2,27.3193,0.0,140.314,2334041,10.0571
gluten,0,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,276.123,4823332,9.64666
gluten,0,NkOpt,2154434,10,0.6,2.2,30.488,0.0,600.132,10308348,9.56943
gluten,0,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,1296.2,24756315,10.6672
gluten,0,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,2686.95,50081229,10.0162
gluten,0,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,5248.61,105094868,9.75614
gluten,0,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,11325.6,224097733,9.65608
gluten,0,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,24979.2,505639924,10.1128
gluten,0,NkOpt,10000,100,0.6,2.2,14.0942,0.0,13.8683,445713,89.1426
gluten,0,NkOpt,10000,100,0.6,2.2,14.0942,0.0,6.47405,459935,91.987
gluten,0,NkOpt,21544,100,0.6,2.2,15.8307,0.0,12.6049,985242,91.4632
gluten,0,NkOpt,46415,100,0.6,2.2,17.531,0.0,23.6966,2325423,100.201
gluten,0,NkOpt,100000,100,0.6,2.2,19.2046,0.0,46.0025,4943536,98.8707
gluten,0,NkOpt,215443,100,0.6,2.2,20.8564,0.0,79.2067,9820869,91.1691
gluten,0,NkOpt,464158,100,0.6,2.2,22.4907,0.0,213.872,22790722,98.2024
gluten,0,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,428.195,50527657,101.055
gluten,0,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,879.871,105871423,98.2824
gluten,0,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,1992.43,233603790,100.657
gluten,0,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,4253.95,497210576,99.4421
gluten,0,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,8808.63,1071490880,99.4684
gluten,0,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,19105.8,2296938046,98.9721
gluten,0,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,42504,5031445878,100.629
gluten,0,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,62.1393,9878565,917.06
gluten,0,NkOpt,46415,1000,0.6,2.2,12.309,0.0,99.7027,21961155,946.296
gluten,0,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,197.079,50803327,1016.07
gluten,0,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,441.779,105039218,975.1
gluten,0,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,895.157,222140415,957.176
gluten,0,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,1896.57,498817379,997.635
gluten,0,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,4068.56,1075118733,998.052
gluten,0,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,8797.56,2311966464,996.196
gluten,0,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,18680.7,4935096661,987.019
gluten,0,NkOpt,21544346,1000,0.6,2.2,25.719,0.0,39818.3,10665937871,990.138
gluten,0,NkOpt,46415888,1000,0.6,2.2,27.3174,0.0,86885.4,23202071917,999.747
gluten,0,NkOpt,100000000,1000,0.6,2.2,28.9073,0.0,183946,49105505934,982.11
gluten,0,NkOpt,10000,10,1,3,15.683,0.0,3.20475,48757,9.7514
gluten,0,NkOpt,10000,10,1,3,15.683,0.0,3.29116,48758,9.7516
gluten,0,NkOpt,21544,10,1,3,17.2179,0.0,6.60835,108300,10.0538
gluten,0,NkOpt,46415,10,1,3,18.7527,0.0,11.3954,228161,9.83135
gluten,0,NkOpt,100000,10,1,3,20.2913,0.0,24.1189,492540,9.8508
gluten,0,NkOpt,215443,10,1,3,21.8265,0.0,45.6079,1070075,9.93372
gluten,0,NkOpt,464158,10,1,3,23.3616,0.0,108.159,2320707,9.99964
gluten,0,NkOpt,1000000,10,1,3,24.8968,0.0,217.581,4975817,9.95163
gluten,0,NkOpt,2154434,10,1,3,26.4319,0.0,494.272,10789419,10.016
gluten,0,NkOpt,4641588,10,1,3,27.9671,0.0,1080.91,23143486,9.97223
gluten,0,NkOpt,10000000,10,1,3,29.5022,0.0,2530.93,50000748,10.0001
gluten,0,NkOpt,21544346,10,1,3,31.0374,0.0,4988.63,107612141,9.98983
gluten,0,NkOpt,46415888,10,1,3,32.5725,0.0,10740.4,231763244,9.98638
gluten,0,NkOpt,100000000,10,1,3,34.1046,0.0,24806.6,500974610,10.0195
gluten,0,NkOpt,10000,100,1,3,11.0622,0.0,5.03195,480625,96.125
gluten,0,NkOpt,10000,100,1,3,11.0622,0.0,6.46214,517683,103.537
gluten,0,NkOpt,21544,100,1,3,12.6063,0.0,12.7226,1112368,103.265
gluten,0,NkOpt,46415,100,1,3,14.1455,0.0,24.315,2288405,98.6063
gluten,0,NkOpt,100000,100,1,3,15.683,0.0,41.5861,5089493,101.79
gluten,0,NkOpt,215443,100,1,3,17.2191,0.0,77.9902,10688900,99.2272
