deg,hrg_only,girg_only,scaling,girg_edges
100,44406,15984,16.9453,5003901
100.5,41998,38226,17.0312,5028551
101,40035,61053,17.1172,5053341
101.5,38321,84066,17.2031,5078068
102,36740,107441,17.2891,5103024
102.5,35346,131072,17.375,5128049
103,34050,154823,17.4609,5153096
103.5,32826,178336,17.5469,5177833
104,31678,202209,17.6328,5202854
104.5,30551,226093,17.7188,5227865
105,29482,249598,17.8047,5252439
105.5,28522,273646,17.8906,5277447
106,27562,297467,17.9766,5302228
106.5,26639,321174,18.0625,5326858
107,25751,346328,18.1523,5352900
107.5,24886,370302,18.2383,5377739
108,24014,395371,18.3281,5403680
108.5,23272,419483,18.4141,5428534
109,22485,443633,18.5,5453471
109.5,21711,467854,18.5859,5478466
110,21004,492071,18.6719,5503390
110.5,20379,516064,18.7578,5528008
111,19705,540267,18.8438,5552885
111.5,19064,564567,18.9297,5577826
112,18446,588547,19.0156,5602424
112.5,17878,612892,19.1016,5627337
113,17306,637134,19.1875,5652151
113.5,16726,662212,19.2773,5677809
114,16115,687468,19.3672,5703676
114.5,15568,711737,19.4531,5728492
115,15089,735945,19.5391,5753179
115.5,14610,760223,19.625,5777936
116,14124,784504,19.7109,5802703
116.5,13686,808889,19.7969,5827526
117,13227,833361,19.8828,5852457
117.5,12835,857682,19.9688,5877170
118,12450,881795,20.0547,5901668
118.5,12028,906976,20.1445,5927271
119,11616,932451,20.2344,5953158
119.5,11226,956823,20.3203,5977920
120,10865,981234,20.4062,6002692
120.5,10487,1005548,20.4922,6027384
121,10096,1030115,20.5781,6052342
121.5,9755,1054356,20.6641,6076924
122,9431,1078698,20.75,6101590
122.5,9095,1102958,20.8359,6126186
123,8755,1128553,20.9258,6152121
123.5,8458,1153556,21.0156,6177421
124,8153,1178310,21.1016,6202480
124.5,7854,1202889,21.1875,6227358
125,7561,1227337,21.2734,6252099
125.5,7266,1251765,21.3594,6276822
126,6998,1276152,21.4453,6301477
126.5,6717,1300398,21.5312,6326004
127,6451,1326182,21.6211,6352054
127.5,6189,1351798,21.7109,6377932
128,5939,1376160,21.7969,6402544
128.5,5699,1400768,21.8828,6427392
129,5441,1425160,21.9688,6452042
129.5,5200,1449486,22.0547,6476609
130,4963,1474206,22.1406,6501566
130.5,4754,1499743,22.2305,6527312
131,4534,1525324,22.3203,6553113
131.5,4302,1549875,22.4062,6577896
132,4074,1574514,22.4922,6602763
132.5,3879,1599268,22.5781,6627712
133,3695,1623936,22.6641,6652564
133.5,3516,1648419,22.75,6677226
134,3324,1673825,22.8398,6702824
134.5,3139,1699551,22.9297,6728735
135,2988,1723954,23.0156,6753289
135.5,2850,1748573,23.1016,6778046
136,2711,1773229,23.1875,6802841
136.5,2567,1797470,23.2734,6827226
137,2399,1823022,23.3633,6852946
137.5,2258,1848576,23.4531,6878641
138,2120,1873137,23.5391,6903340
138.5,2001,1897844,23.625,6928166
139,1881,1922392,23.7109,6952834
139.5,1763,1946832,23.7969,6977392
140,1661,1972303,23.8867,7002965
140.5,1543,1998185,23.9766,7028965
141,1420,2022618,24.0625,7053521
141.5,1320,2047213,24.1484,7078216
142,1216,2071777,24.2344,7102884
142.5,1133,2096523,24.3203,7127713
143,1039,2121798,24.4102,7153082
143.5,939,2147254,24.5,7178638
144,842,2171647,24.5859,7203128
144.5,764,2196103,24.6719,7227662
145,679,2220747,24.7578,7252391
145.5,618,2246052,24.8477,7277757
146,572,2271608,24.9375,7303359
146.5,505,2296119,25.0234,7327937
147,444,2320856,25.1094,7352735
147.5,393,2345323,25.1953,7377253
148,337,2369527,25.2812,7401513
148.5,287,2396173,25.375,7428209
149,247,2420911,25.4609,7452987
149.5,212,2445098,25.5469,7477209
150,177,2469614,25.6328,7501760
150.5,144,2494190,25.7188,7526369
151,99,2520739,25.8125,7552963
151.5,75,2545260,25.8984,7577508
152,53,2569620,25.9844,7601890
152.5,36,2594213,26.0703,7626500
153,23,2619702,26.1602,7652002
153.5,16,2645275,26.25,7677582
154,7,2669814,26.3359,7702130
154.5,3,2694341,26.4219,7726661
155,0,2718827,26.5078,7751150
99.5,54189,496,16.8594,4978630
99,79898,347,16.7695,4952772
98.5,104701,232,16.6836,4927854
98,129617,169,16.5977,4902875
97.5,155220,113,16.5078,4877216
97,180049,68,16.4219,4852342
96.5,205018,32,16.3359,4827337
96,230025,13,16.25,4802311
95.5,254892,4,16.1641,4777435
95,279598,1,16.0781,4752726
94.5,304662,0,15.9922,4727661
