n,hrg_deg,low,high,rep
4096,97.6387,80.7235,143.597,0
8192,97.5034,85.4107,146.826,0
16384,100.341,91.7377,152.668,0
32768,102.205,92.3243,157.101,0
65536,94.5382,93.6704,146.423,0
131072,98.8561,95.5159,153.497,0
262144,98.7904,97.8835,153.781,0
524288,99.8788,99.2351,155.475,0
1048576,99.2942,96.7537,154.953,0
2097152,99.2994,98.6594,155.349,0
4096,95.0498,85.0807,140.904,1
8192,90.5068,85.5926,136.644,1
16384,94.3446,90.1249,144.281,1
32768,99.338,91.0921,151.917,1
65536,97.6994,93.8639,150.938,1
131072,101.88,99.552,157.397,1
262144,100.934,98.6277,156.724,1
524288,98.953,97.5035,154.034,1
1048576,101.96,94.891,158.318,1
2097152,100.066,97.7789,156.157,1
4096,98.1333,89.7191,146.242,2
8192,101.303,90.9548,152.548,2
16384,94.3745,88.089,143.958,2
32768,100.109,96.1791,153.097,2
65536,101.091,96.0172,155.784,2
131072,97.5955,92.163,151.159,2
262144,99.6686,97.9361,155.148,2
524288,98.7861,94.3677,153.774,2
1048576,100.143,99.7717,156.278,2
2097152,98.647,98.0112,154.329,2
4096,102.553,90.6755,151.627,3
8192,92.1096,82.4489,137.985,3
16384,100.711,93.7277,153.23,3
32768,98.2953,93.6302,150.707,3
65536,100.246,94.6659,154.872,3
131072,100.448,97.6034,155.577,3
262144,99.815,98.8988,155.766,3
524288,101.99,99.938,158.363,3
1048576,98.6119,98.2459,154.274,3
2097152,100.189,95.1603,156.35,3
4096,96.0742,87.0485,143.548,4
8192,97.1589,89.3597,146.308,4
16384,102.828,96.5417,155.648,4
32768,99.5599,93.4735,153.034,4
65536,106.266,96.5731,162.512,4
131072,102.074,99.4619,158.094,4
262144,99.7955,97.7879,155.346,4
524288,98.8183,97.641,153.825,4
1048576,98.4881,97.8533,154.08,4
2097152,100.484,99.5617,157.203,4
4096,102.466,93.6806,152.699,5
8192,96.8796,86.7186,146.644,5
16384,98.0725,94.4906,149.982,5
32768,94.8162,93.4273,146.484,5
65536,97.967,94.6568,150.586,5
131072,102.712,89.412,158.282,5
262144,99.6423,98.4551,155.107,5
524288,99.1911,86.6179,154.017,5
1048576,102.551,99.3659,159.634,5
2097152,99.3958,98.2116,155.5,5
4096,98.7588,86.5104,147.174,6
8192,101.964,90.1546,152.349,6
16384,104.094,93.7451,156.344,6
32768,100.727,86.3069,154.436,6
65536,96.521,94.5793,149.117,6
131072,99.1453,95.5242,153.559,6
262144,105.235,92.7586,162.99,6
524288,100.134,98.6668,155.872,6
1048576,99.0473,95.9714,154.568,6
2097152,100.45,99.5276,157.149,6
4096,96.5034,87.7013,144.19,7
8192,97.9937,81.5529,147.182,7
16384,99.7539,91.7463,152.553,7
32768,94.1031,92.7247,146.117,7
65536,99.5915,91.3246,153.472,7
131072,99.0286,92.4331,153.378,7
262144,103.848,85.8575,160.032,7
524288,98.5815,97.9461,153.456,7
1048576,100.35,93.1175,155.817,7
2097152,101.117,96.8711,157.798,7
4096,107.425,90.8705,157.99,8
8192,99.9231,95.1807,151.251,8
16384,99.9161,88.0706,152.021,8
32768,100.266,97.1524,154.12,8
65536,104.816,91.5299,160.704,8
131072,99.0666,91.1142,153.437,8
262144,98.922,89.8993,153.213,8
524288,104.404,88.8862,161.296,8
1048576,98.8657,98.4988,154.671,8
2097152,99.0391,97.3175,154.942,8
4096,94.0576,83.1638,141.638,9
8192,99.4102,83.5472,149.698,9
16384,99.4066,94.1451,151.634,9
32768,89.0001,87.5747,137.498,9
65536,98.2865,85.5591,151.077,9
131072,97.2975,96.1383,150.697,9
262144,103.649,100.147,160.535,9
524288,98.1079,88.0863,152.335,9
1048576,99.5842,98.67,155.406,9
2097152,100.613,99.9644,157.404,9
4096,109.809,91.9861,159.78,10
8192,96.4138,82.6108,145.939,10
16384,98.6423,85.3295,150.083,10
32768,96.7959,94.3193,148.786,10
65536,99.7536,96.6558,154.501,10
131072,97.2325,96.074,150.976,10
262144,99.776,95.8591,155.315,10
524288,97.059,96.168,151.844,10
1048576,100.071,99.1528,156.166,10
2097152,101.536,100.326,158.451,10
4096,99.6069,88.0704,148.438,11
8192,97.9714,81.2665,147.531,11
16384,93.1525,86.6937,142.822,11
32768,99.8328,91.8189,152.674,11
65536,101.578,94.8129,156.137,11
131072,99.8186,97.2647,154.992,11
262144,104.323,87.9617,160.764,11
524288,98.2564,97.6231,152.95,11
1048576,98.3785,98.2824,153.909,11
2097152,99.6385,94.6371,155.88,11
4096,97.3892,84.2454,144.372,12
8192,94.093,86.2826,141.691,12
16384,102.452,94.2276,155.479,12
32768,97.4131,93.0562,149.354,12
65536,103.618,96.7164,159.271,12
131072,97.9879,92.8014,151.766,12
262144,98.7392,88.1131,153.316,12
524288,98.3238,97.1524,153.439,12
1048576,100.857,100.207,157.392,12
2097152,98.4375,98.3413,154.385,12
4096,106.698,89.3802,157.338,13
8192,92.4949,86.3346,140.73,13
16384,96.8634,92.7959,147.376,13
32768,101.346,97.0904,154.593,13
65536,101.426,87.4603,155.111,13
131072,96.0533,94.9089,149.52,13
262144,101.522,97.2586,157.636,13
524288,96.9731,96.0829,151.331,13
1048576,99.9301,99.5592,155.946,13
2097152,100.145,99.5,156.673,13
4096,101.074,89.9205,150.229,14
8192,92.5537,83.6056,141.542,14
16384,104.877,88.4285,158.34,14
32768,103.78,96.8684,159.116,14
65536,100.072,97.512,154.213,14
131072,97.3902,95.9636,151.221,14
262144,100.917,98.8865,157.091,14
524288,103.395,100.749,160.949,14
1048576,98.7034,97.5275,154.031,14
2097152,100.666,99.4663,157.093,14
4096,91.167,81.2312,137.641,15
8192,95.8191,84.7213,144.664,15
16384,94.6161,85.9861,142.848,15
32768,101.214,90.3217,154.391,15
65536,97.8174,96.117,151.12,15
131072,95.8797,92.64,148.876,15
262144,95.624,94.7462,148.852,15
524288,99.9177,98.4541,155.926,15
1048576,99.3023,98.3907,154.966,15
2097152,100.679,100.031,157.508,15
4096,98.0542,89.1106,146.124,16
8192,93.2346,83.9658,141.491,16
16384,96.3142,92.5331,147.293,16
32768,99.5575,94.0157,152.642,16
65536,98.6704,82.9255,151.667,16
131072,99.5035,97.7738,154.114,16
262144,101.194,97.2211,156.732,16
524288,100.72,97.5923,156.785,16
1048576,100.255,92.4809,156.06,16
2097152,99.8474,99.2038,156.207,16
4096,107.888,89.197,157.406,17
8192,100.218,86.1442,150.131,17
16384,95.6255,89.2567,146.24,17
32768,103.307,94.7316,157.987,17
65536,94.893,93.503,146.602,17
131072,97.4518,96.0243,151.697,17
262144,98.7229,97.2767,153.29,17
524288,98.2181,97.585,153.274,17
1048576,101.602,100.948,158.555,17
2097152,99.3905,97.6628,155.492,17
4096,98.4009,82.699,145.103,18
8192,97.4902,87.7983,146.045,18
16384,101.164,94.98,153.92,18
32768,99.6047,85.6173,152.325,18
65536,102.218,92.895,157.92,18
131072,97.6915,97.0619,151.307,18
262144,99.8879,96.5128,155.099,18
524288,102.225,84.7951,158.329,18
1048576,100.457,99.8097,156.768,18
2097152,99.1932,98.0114,155.183,18
4096,99.7427,83.8267,147.861,19
8192,99.3364,88.3745,149.587,19
16384,98.7778,86.257,150.289,19
32768,99.2483,93.181,152.555,19
65536,101.287,95.6488,155.689,19
131072,98.5014,97.0585,152.562,19
262144,98.3573,96.6476,153.491,19
524288,97.9415,94.0966,152.842,19
1048576,99.6576,98.1978,155.52,19
2097152,100.378,99.7306,157.036,19
4096,99.8701,91.8532,149.22,20
8192,92.8633,86.1706,141.653,20
16384,98.7861,91.9367,150.302,20
32768,102.904,84.7953,157.371,20
65536,101.344,81.8469,155.38,20
131072,107.724,96.7205,165.163,20
262144,98.2504,97.3485,152.941,20
524288,100.844,93.025,156.585,20
1048576,99.3247,95.9687,155.001,20
2097152,100.758,96.251,157.237,20
4096,100.772,84.4162,149.387,21
8192,101.391,88.816,151.096,21
16384,95.5919,91.5778,146.562,21
32768,100.881,93.3351,155.066,21
65536,99.9978,98.8064,154.879,21
131072,100.226,98.4833,155.232,21
262144,100.579,98.8311,156.173,21
524288,97.8113,95.8436,152.257,21
1048576,101.203,99.7208,157.537,21
2097152,99.4657,99.0965,155.609,21
4096,101.408,93.2674,151.121,22
8192,99.7546,88.7466,150.606,22
16384,94.9792,90.7312,145.622,22
