dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimeEdges,GenNumEdge,GenAvgDeg
1,1024,10,inf,2.5,1,1,0,0.402,0.0742,0.0839,0.4256,5067,9.89648
1,1024,100,inf,2.5,1,2,0,0.1192,0.038,2.2475,1.4979,51330,100.254
1,2048,10,inf,2.5,1,3,0,0.307,0.0737,0.4601,0.6697,10188,9.94922
1,2048,100,inf,2.5,1,4,0,0.2379,0.0729,2.6281,2.8485,102444,100.043
1,4096,10,inf,2.5,1,5,0,0.9411,0.1484,0.2249,1.3249,20748,10.1309
1,4096,100,inf,2.5,1,6,0,0.5584,0.1591,4.141,6.2298,204055,99.6362
1,4096,1000,inf,2.5,1,7,0,0.6269,0.1489,102.979,47.1698,2047342,999.679
1,8192,10,inf,2.5,1,8,0,1.5127,0.2889,1.5661,3.2274,41044,10.0205
1,8192,100,inf,2.5,1,9,0,1.2531,0.2936,6.6662,13.325,410132,100.13
1,8192,1000,inf,2.5,1,10,0,0.9502,0.2843,127.103,112.585,4096003,1000
1,16384,10,inf,2.5,1,11,0,2.0935,0.5445,1.1088,5.8747,82253,10.0406
1,16384,100,inf,2.5,1,12,0,1.9056,0.5477,23.6234,27.3248,819797,100.073
1,16384,1000,inf,2.5,1,13,0,1.9182,0.5922,176.744,255.725,8192295,1000.04
1,32768,10,inf,2.5,1,14,0,4.0111,1.0736,0.9536,12.038,164178,10.0206
1,32768,100,inf,2.5,1,15,0,4.1261,1.0727,17.229,48.7508,1637378,99.9376
1,32768,1000,inf,2.5,1,16,0,4.1173,1.2842,319.986,537.66,16385472,1000.09
1,65536,10,inf,2.5,1,17,0,8.0212,2.2446,3.9258,27.5409,327030,9.98016
1,65536,100,inf,2.5,1,18,0,7.8307,2.201,18.5711,108.799,3279318,100.077
1,65536,1000,inf,2.5,1,19,0,7.6364,2.2104,278.244,1067.81,32774026,1000.18
1,131072,10,inf,2.5,1,20,0,15.6712,4.4573,9.6997,62.2928,656159,10.0122
1,131072,100,inf,2.5,1,21,0,15.2974,4.2434,81.6325,249.406,6550002,99.9451
1,131072,1000,inf,2.5,1,22,0,16.2291,4.6937,660.053,1725.09,65533350,999.96
1,262144,10,inf,2.5,1,23,0,31.744,9.3718,16.6915,126.507,1312849,10.0162
1,262144,100,inf,2.5,1,24,0,33.55,9.1878,141.837,614.884,13109601,100.018
1,262144,1000,inf,2.5,1,25,0,34.6402,8.8038,1265.02,3885.13,131066627,999.959
1,524288,10,inf,2.5,1,26,0,64.2291,17.6896,23.853,269.951,2623270,10.007
1,524288,100,inf,2.5,1,27,0,66.4247,17.7659,120.323,1384.84,26206386,99.9694
1,524288,1000,inf,2.5,1,28,0,68.3135,17.8467,1639.28,8584.78,262133821,999.961
1,1048576,10,inf,2.5,1,29,0,128.673,35.7575,59.9193,580.996,5237495,9.98973
1,1048576,100,inf,2.5,1,30,0,128.044,35.4695,212.201,2965.72,52428172,99.9988
1,1048576,1000,inf,2.5,1,31,0,130.912,35.5961,3756.03,19885.9,524301344,1000.03
1,32768,2,inf,2.5,1,32,1,6.214,1.4321,2.4529,16.46,32809,2.0025
1,32768,4,inf,2.5,1,33,1,4.0978,1.2958,2.0791,9.3245,65944,4.0249
1,32768,8,inf,2.5,1,34,1,4.5074,1.2355,3.2927,11.7088,131556,8.02954
1,32768,16,inf,2.5,1,35,1,4.4726,1.2355,2.6185,15.1675,262208,16.0039
1,32768,32,inf,2.5,1,36,1,4.1901,1.3909,3.5622,19.8993,524002,31.9825
1,32768,64,inf,2.5,1,37,1,3.8817,1.1029,33.7911,33.4529,1049119,64.0331
1,32768,128,inf,2.5,1,38,1,4.1512,1.0978,24.4661,51.5538,2098442,128.079
1,32768,256,inf,2.5,1,39,1,3.8524,1.1135,84.045,80.5677,4196319,256.123
1,32768,512,inf,2.5,1,40,1,3.8733,1.1001,140.58,223.298,8386094,511.847
1,32768,1024,inf,2.5,1,41,1,4.3644,1.0745,261.348,422.663,16779710,1024.15
1,32768,2048,inf,2.5,1,42,1,4.0214,1.1571,634.723,830.302,33548891,2047.66
1,32768,4096,inf,2.5,1,43,1,4.5592,1.1085,2526.43,1686.16,67105610,4095.8
1,32768,10,inf,2.5,1,44,2,4.007,1.3959,2.592,12.5482,163891,10.0031
1,32768,10,5,2.5,1,45,2,3.929,1.0732,18.0239,99.3248,163880,10.0024
1,32768,10,4.5,2.5,1,46,2,3.8167,1.0978,8.5249,118.735,163802,9.99768
1,32768,10,4,2.5,1,47,2,3.9092,1.101,9.158,107.554,163819,9.99872
1,32768,10,3.5,2.5,1,48,2,3.8179,1.1001,11.2131,103.196,164483,10.0392
1,32768,10,3,2.5,1,49,2,3.815,1.0964,7.3943,108.256,163499,9.97919
1,32768,10,2.5,2.5,1,50,2,3.8613,1.3862,8.8849,107.724,163488,9.97852
1,32768,10,2,2.5,1,51,2,3.8752,1.0643,2.9571,63.8794,164577,10.045
1,32768,10,inf,2.5,1,52,3,3.9119,1.0731,2.632,12.9762,163114,9.95569
2,32768,10,inf,2.5,1,53,3,4.256,1.7377,3.4115,26.0943,163331,9.96893
3,32768,10,inf,2.5,1,54,3,4.0426,2.0476,32.0579,80.423,163983,10.0087
4,32768,10,inf,2.5,1,55,3,4.0283,2.5364,88.1633,471.523,163720,9.99268
5,32768,10,inf,2.5,1,56,3,3.8805,2.8901,449.272,1563.06,163763,9.9953
1,32768,10,inf,2.5,1,57,4,4.2087,1.1868,2.003,12.0149,164938,10.067
2,32768,10,inf,2.5,1,58,4,3.9847,1.5829,2.528,25.9802,164602,10.0465
3,32768,10,inf,2.5,1,59,4,3.7523,2.0411,40.6409,81.3325,164214,10.0228
4,32768,10,inf,2.5,1,60,4,3.7556,2.4918,110.753,503.7,163834,9.99963
5,32768,10,inf,2.5,1,61,4,4.0371,3.0562,472.984,1573.03,163592,9.98486
1,32768,10,inf,2.5,2,62,4,3.853,1.4256,2.0758,11.7621,163728,9.99316
2,32768,10,inf,2.5,2,63,4,3.7839,1.9237,2.7961,15.72,163799,9.9975
3,32768,10,inf,2.5,2,64,4,3.8107,2.3889,27.6573,47.1364,164129,10.0176
4,32768,10,inf,2.5,2,65,4,3.7501,2.8489,93.3877,284.228,163843,10.0002
5,32768,10,inf,2.5,2,66,4,3.7537,3.6308,481.662,1021.66,164006,10.0101
1,32768,10,inf,2.5,3,67,4,3.8655,1.4619,2.7371,9.5365,163853,10.0008
2,32768,10,inf,2.5,3,68,4,3.7728,2.06,3.3874,12.3084,164822,10.0599
3,32768,10,inf,2.5,3,69,4,3.7955,2.393,27.2445,35.667,163276,9.96558
4,32768,10,inf,2.5,3,70,4,3.7574,2.8513,88.0521,227.915,164177,10.0206
5,32768,10,inf,2.5,3,71,4,4.6772,3.9192,441.985,761.519,164051,10.0129
1,32768,10,inf,2.5,4,72,4,3.8818,1.4711,1.9395,7.5711,164126,10.0175
2,32768,10,inf,2.5,4,73,4,3.9657,1.9881,6.1913,10.1528,163543,9.98187
3,32768,10,inf,2.5,4,74,4,3.8706,2.4506,27.5158,26.9709,164065,10.0137
4,32768,10,inf,2.5,4,75,4,4.0942,2.8452,77.1994,161.245,163598,9.98523
5,32768,10,inf,2.5,4,76,4,3.7505,3.6146,455.882,580.989,164029,10.0115
1,32768,10,inf,2.5,5,77,4,3.8595,1.4631,2.8364,7.6258,164373,10.0325
2,32768,10,inf,2.5,5,78,4,4.0075,1.9834,2.8359,9.3495,163308,9.96753
3,32768,10,inf,2.5,5,79,4,3.969,2.4635,42.1454,25.4512,164283,10.027
4,32768,10,inf,2.5,5,80,4,3.8735,2.9212,93.3125,140.364,163616,9.98633
5,32768,10,inf,2.5,5,81,4,3.8646,3.6801,428.219,527.124,163720,9.99268
