dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
1,1024,10,inf,2.5,1,1,0,0.3562,0.0979,0.0775,0.5249,1.0675,5067,9.89648
1,1024,100,inf,2.5,1,2,0,0.1318,0.0357,2.1894,1.7442,4.1113,51330,100.254
1,2048,10,inf,2.5,1,3,0,0.3149,0.0668,0.4758,0.9878,1.8612,10188,9.94922
1,2048,100,inf,2.5,1,4,0,0.2341,0.0644,2.6717,3.385,6.3721,102444,100.043
1,4096,10,inf,2.5,1,5,0,0.5139,0.1295,0.2203,1.4028,2.3096,20748,10.1309
1,4096,100,inf,2.5,1,6,0,0.563,0.1925,4.2847,7.373,12.4582,204055,99.6362
1,4096,1000,inf,2.5,1,7,0,0.4684,0.129,114.066,54.1463,168.858,2047342,999.679
1,8192,10,inf,2.5,1,8,0,1.0295,0.2579,1.6194,2.8142,5.8091,41044,10.0205
1,8192,100,inf,2.5,1,9,0,0.9201,0.2565,7.4528,11.7323,20.4503,410132,100.13
1,8192,1000,inf,2.5,1,10,0,0.9286,0.2486,141.152,102.125,244.545,4096003,1000
1,16384,10,inf,2.5,1,11,0,2.2255,0.7796,1.1145,5.8263,10.1083,82253,10.0406
1,16384,100,inf,2.5,1,12,0,1.8922,0.4874,25.209,23.5747,51.3373,819797,100.073
1,16384,1000,inf,2.5,1,13,0,5.9354,1.2262,207.379,205.969,420.686,8192295,1000.04
1,32768,10,inf,2.5,1,14,0,3.6702,1.614,0.864,11.8255,18.3643,164178,10.0206
1,32768,100,inf,2.5,1,15,0,3.6295,0.9493,18.1965,61.3699,84.5667,1637378,99.9376
1,32768,1000,inf,2.5,1,16,0,3.9295,1.1251,362.568,442.58,810.55,16385472,1000.09
1,65536,10,inf,2.5,1,17,0,7.6805,3.462,3.5845,24.2634,39.6624,327030,9.98016
1,65536,100,inf,2.5,1,18,0,7.1379,1.8917,20.0479,107.79,137.569,3279318,100.077
1,65536,1000,inf,2.5,1,19,0,7.6745,1.966,307.789,918.196,1236.34,32774026,1000.18
1,131072,10,inf,2.5,1,20,0,15.2394,7.2014,8.5212,50.7505,83.0962,656159,10.0122
1,131072,100,inf,2.5,1,21,0,15.027,3.8823,86.6936,210.62,317.664,6550002,99.9451
1,131072,1000,inf,2.5,1,22,0,15.0196,3.8943,765.706,1560.06,2346.18,65533350,999.96
1,262144,10,inf,2.5,1,23,0,30.1222,14.638,14.3949,110.128,172.035,1312849,10.0162
1,262144,100,inf,2.5,1,24,0,29.9204,8.1094,146.239,444.8,631.936,13109601,100.018
1,262144,1000,inf,2.5,1,25,0,29.9678,7.7847,1408.54,3169.76,4618.93,131066627,999.959
1,524288,10,inf,2.5,1,26,0,59.9791,29.2267,19.7222,221.483,336.11,2623270,10.007
1,524288,100,inf,2.5,1,27,0,59.8168,15.9629,120.098,888.316,1090.25,26206386,99.9694
1,524288,1000,inf,2.5,1,28,0,58.9946,16.4021,1708.96,6417.05,8208.46,262133821,999.961
1,1048576,10,inf,2.5,1,29,0,119.543,58.3444,50.9194,446.735,688.837,5237495,9.98973
1,1048576,100,inf,2.5,1,30,0,116.597,51.1286,205.777,1761.95,2146.82,52428172,99.9988
1,1048576,1000,inf,2.5,1,31,0,117.825,31.1128,3951.39,12865.4,16978.5,524301344,1000.03
1,32768,2,inf,2.5,1,32,1,3.7124,0.9822,1.6515,10.8331,17.5197,32809,2.0025
1,32768,4,inf,2.5,1,33,1,3.6763,0.9758,1.7563,7.2301,14.0706,65944,4.0249
1,32768,8,inf,2.5,1,34,1,3.6684,0.9804,2.3346,7.8071,15.1301,131556,8.02954
1,32768,16,inf,2.5,1,35,1,3.6846,0.9743,2.4362,8.6882,16.1308,262208,16.0039
1,32768,32,inf,2.5,1,36,1,3.6837,0.9818,3.0116,11.3944,19.423,524002,31.9825
1,32768,64,inf,2.5,1,37,1,3.6657,0.9757,34.5628,18.7594,58.3133,1049119,64.0331
1,32768,128,inf,2.5,1,38,1,4.0246,0.98,25.6,31.2126,62.1673,2098442,128.079
1,32768,256,inf,2.5,1,39,1,3.6665,0.9776,90.4589,79.904,175.347,4196319,256.123
1,32768,512,inf,2.5,1,40,1,3.7166,0.9568,156.619,175.101,336.738,8386094,511.847
1,32768,1024,inf,2.5,1,41,1,4.0927,0.9957,291.784,517.226,814.484,16779710,1024.15
1,32768,2048,inf,2.5,1,42,1,3.6786,0.9604,714.636,818.351,1537.97,33548891,2047.66
1,32768,4096,inf,2.5,1,43,1,3.8474,1.3235,2859.29,1617.35,4482.17,67105610,4095.8
1,32768,10,inf,2.5,1,44,2,3.6679,1.2939,2.4909,7.7255,15.4988,163891,10.0031
1,32768,10,5,2.5,1,45,2,3.9174,0.9614,18.2316,85.3237,108.778,164024,10.0112
1,32768,10,4.5,2.5,1,46,2,3.6698,0.9753,8.0352,96.3575,109.377,163915,10.0046
1,32768,10,4,2.5,1,47,2,4.0761,0.9544,8.6554,92.0315,106.062,163833,9.99957
1,32768,10,3.5,2.5,1,48,2,3.6553,0.9767,10.8828,89.8885,105.74,164358,10.0316
1,32768,10,3,2.5,1,49,2,3.692,0.9522,7.2404,93.9395,106.169,163509,9.9798
1,32768,10,2.5,2.5,1,50,2,4.0264,0.9757,8.9034,93.7804,108.031,163488,9.97852
1,32768,10,2,2.5,1,51,2,3.6647,0.9767,2.9556,53.0092,61.0161,164577,10.045
1,32768,10,inf,2.5,1,52,3,3.6703,0.9516,2.3185,8.4893,15.7645,163114,9.95569
2,32768,10,inf,2.5,1,53,3,3.7334,1.4094,3.2969,18.2748,27.0562,163331,9.96893
3,32768,10,inf,2.5,1,54,3,3.8507,2.2363,31.8734,292.374,330.669,163983,10.0087
4,32768,10,inf,2.5,1,55,3,3.8099,2.4361,87.962,950.069,1044.65,163720,9.99268
5,32768,10,inf,2.5,1,56,3,3.6336,2.8773,456.145,2421.82,2884.92,163763,9.9953
1,32768,10,inf,2.5,1,57,4,3.6225,1.0194,1.8779,8.3065,15.1837,164938,10.067
2,32768,10,inf,2.5,1,58,4,3.7659,1.4654,2.4121,18.6466,26.6393,164602,10.0465
3,32768,10,inf,2.5,1,59,4,4.0575,1.9116,40.4809,318.432,365.235,164214,10.0228
4,32768,10,inf,2.5,1,60,4,4.0163,2.4116,113.902,730.264,850.976,163834,9.99963
5,32768,10,inf,2.5,1,61,4,4.0065,2.8721,483.461,2452.64,2943.36,163592,9.98486
1,32768,10,inf,2.5,2,62,4,3.7082,1.0296,1.9446,7.001,14.1574,163728,9.99316
2,32768,10,inf,2.5,2,63,4,3.7278,1.8216,2.8592,10.8212,19.77,163799,9.9975
3,32768,10,inf,2.5,2,64,4,4.2217,2.2325,27.4704,176.425,210.847,164129,10.0176
4,32768,10,inf,2.5,2,65,4,3.6615,2.7409,92.7676,574.058,673.748,163843,10.0002
5,32768,10,inf,2.5,2,66,4,3.5663,3.4551,480.582,1580.9,2069.02,164006,10.0101
1,32768,10,inf,2.5,3,67,4,3.8103,1.6051,2.1926,5.247,13.3407,163853,10.0008
2,32768,10,inf,2.5,3,68,4,3.6759,1.9125,3.22,8.8737,18.1593,164822,10.0599
3,32768,10,inf,2.5,3,69,4,3.8409,2.5614,26.6003,130.523,164.021,163276,9.96558
4,32768,10,inf,2.5,3,70,4,3.6569,2.7181,89.2198,468.751,564.877,164177,10.0206
5,32768,10,inf,2.5,3,71,4,3.6628,3.181,443.961,1216.61,1667.94,164051,10.0129
1,32768,10,inf,2.5,4,72,4,3.6781,1.3301,1.5657,4.9447,12.0065,164126,10.0175
2,32768,10,inf,2.5,4,73,4,3.7263,1.8329,5.761,7.1916,18.9941,163543,9.98187
3,32768,10,inf,2.5,4,74,4,3.7518,2.2911,27.4332,99.5349,133.503,164065,10.0137
4,32768,10,inf,2.5,4,75,4,3.7148,2.7242,77.5592,320.511,405.039,163598,9.98523
5,32768,10,inf,2.5,4,76,4,3.7468,3.494,469.38,924.368,1401.52,164029,10.0115
1,32768,10,inf,2.5,5,77,4,3.7495,1.6496,2.7941,4.4243,13.113,164373,10.0325
2,32768,10,inf,2.5,5,78,4,3.7691,1.8379,2.9714,6.7469,15.8201,163308,9.96753
3,32768,10,inf,2.5,5,79,4,3.7773,2.3296,42.6949,90.1922,139.495,164283,10.027
4,32768,10,inf,2.5,5,80,4,4.058,2.7961,96.5325,294.661,398.595,163616,9.98633
5,32768,10,inf,2.5,5,81,4,4.0413,3.2686,446.644,841.44,1295.94,163720,9.99268
1,32768,10,inf,2.5,6,82,4,3.7871,1.37,3.2927,4.3219,13.2712,164042,10.0123
2,32768,10,inf,2.5,6,83,4,3.7565,1.8508,2.5678,6.7061,15.3744,163834,9.99963
3,32768,10,inf,2.5,6,84,4,3.7802,2.3271,33.493,81.952,122.06,164596,10.0461
