dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimePre,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
1,1024,10,inf,2.5,1,1,0,0.3632,0.1503,0.0742,0.1057,0.1382,0.8427,5067,9.89648
1,1024,100,inf,2.5,1,2,0,0.1196,0.0344,2.1171,0.05,0.3803,2.7126,51330,100.254
1,2048,10,inf,2.5,1,3,0,0.3381,0.1104,0.524,0.179,0.275,1.4446,10188,9.94922
1,2048,100,inf,2.5,1,4,0,0.2356,0.064,2.5897,0.0955,0.8153,3.8177,102444,100.043
1,4096,10,inf,2.5,1,5,0,0.5927,0.3399,0.2434,0.5408,0.7759,2.5595,20748,10.1309
1,4096,100,inf,2.5,1,6,0,0.4749,0.128,4.4833,0.1958,1.7553,7.0808,204055,99.6362
1,4096,1000,inf,2.5,1,7,0,0.4568,0.1229,113.019,0.1827,12.9869,126.814,2047342,999.679
1,8192,10,inf,2.5,1,8,0,0.9855,0.4447,1.862,0.6298,1.1348,5.1835,41044,10.0205
1,8192,100,inf,2.5,1,9,0,0.9243,0.3131,7.2185,0.5074,3.8539,12.9637,410132,100.13
1,8192,1000,inf,2.5,1,10,0,1.2745,0.3228,143.379,0.442,33.3356,178.958,4096003,1000
1,16384,10,inf,2.5,1,11,0,2.0076,0.9428,1.0926,1.7155,2.2822,8.256,82253,10.0406
1,16384,100,inf,2.5,1,12,0,1.8472,0.6247,25.5583,1.0421,8.4471,37.7749,819797,100.073
1,16384,1000,inf,2.5,1,13,0,1.85,0.7486,198.311,0.8566,70.8874,272.874,8192295,1000.04
1,32768,10,inf,2.5,1,14,0,3.8808,1.8222,0.8631,2.9667,4.5607,14.536,164178,10.0206
1,32768,100,inf,2.5,1,15,0,4.0937,1.1956,18.1848,2.169,16.6029,42.7403,1637378,99.9376
1,32768,1000,inf,2.5,1,16,0,3.6151,1.4632,355.761,1.8894,154.236,517.435,16385472,1000.09
1,65536,10,inf,2.5,1,17,0,7.9977,3.6809,3.5789,7.6249,9.2025,32.9504,327030,9.98016
1,65536,100,inf,2.5,1,18,0,7.8845,2.541,19.9402,4.7814,34.7144,70.829,3279318,100.077
1,65536,1000,inf,2.5,1,19,0,7.5227,3.0794,306.917,4.007,331.541,654.306,32774026,1000.18
1,131072,10,inf,2.5,1,20,0,15.5989,7.7816,8.2402,14.8791,19.4259,67.7422,656159,10.0122
1,131072,100,inf,2.5,1,21,0,14.9342,4.6168,85.8106,10.4385,67.4226,185.168,6550002,99.9451
1,131072,1000,inf,2.5,1,22,0,14.8453,6.1324,712.398,9.2217,410.573,1155.06,65533350,999.96
1,262144,10,inf,2.5,1,23,0,31.2932,15.6976,14.7631,32.9739,38.2052,136.491,1312849,10.0162
1,262144,100,inf,2.5,1,24,0,29.8379,9.3166,142.718,25.4024,140.129,351.224,13109601,100.018
1,262144,1000,inf,2.5,1,25,0,29.2118,12.8478,1373.66,21.9228,833.923,2275.4,131066627,999.959
1,524288,10,inf,2.5,1,26,0,62.6677,30.3926,19.5552,70.2665,75.3132,265.556,2623270,10.007
1,524288,100,inf,2.5,1,27,0,58.0463,18.7788,117.606,55.1536,280.087,537.072,26206386,99.9694
1,524288,1000,inf,2.5,1,28,0,59.0614,25.3309,1672.96,46.6027,1730.61,3542.34,262133821,999.961
1,1048576,10,inf,2.5,1,29,0,125.991,62.0512,50.331,158.647,155.456,566.847,5237495,9.98973
1,1048576,100,inf,2.5,1,30,0,116.627,36.8613,203.922,119.963,575.634,1068.4,52428172,99.9988
1,1048576,1000,inf,2.5,1,31,0,117.675,51.2219,3925.98,98.5388,3529.88,7738.45,524301344,1000.03
1,32768,2,inf,2.5,1,32,1,3.6508,0.9892,1.6107,3.2427,7.4143,17.2782,32809,2.0025
